ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YDR073W	1.165	1.458
YDR074W	0.298	0.018
YDR075W	1.290	1.728
YDR076W	1.850	1.242
YDR077W	1.296	2.278
YDR078C	1.248	1.855
YDR079C-A	1.323	1.204
YDR079W	0.806	0.827
YDR080W	1.596	2.438
YDR083W	2.368	4.325
YDR084C	1.404	2.278
YDR085C	1.521	2.556
YDR089W	1.326	1.353
YDR093W	1.246	2.363
YDR094W	1.189	1.456
YDR095C	1.378	2.291
YDR096W	1.258	1.668
YDR097C	1.410	1.703
YDR098C	1.326	1.471
YDR099W	1.272	1.737
YDR100W	1.028	1.249
YDR101C	1.858	2.152
YDR102C	1.201	1.326
YDR104C	1.048	1.715
YDR105C	1.002	1.457
YDR107C	1.157	2.115
YDR108W	1.406	2.396
YDR109C	1.196	1.956
YDR110W	1.282	2.004
YDR111C	1.305	1.762
YDR112W	1.120	1.352
YDR114C	1.109	1.140
YDR115W	1.143	0.583
YDR116C	1.028	0.950
YDR117C	1.060	1.764
YDR119W	1.074	1.957
YDR120C	0.594	0.269
YDR121W	1.096	1.623
YDR122W	1.096	1.634
YDR123C	0.491	2.215
YDR124W	1.187	2.304
YDR125C	0.997	2.186
YDR126W	1.001	1.287
YDR127W	1.147	1.209
YDR128W	0.923	0.712
YDR129C	1.229	0.835
YDR130C	1.073	1.950
YDR131C	1.152	1.981
YDR132C	1.124	1.959
YDR133C	1.120	1.770
YDR134C	1.007	1.013
YDR135C	1.161	0.292
YDR136C	0.303	0.595
YDR137W	0.569	0.978
YDR138W	0.943	1.560
YDR139C	1.144	1.874
YDR140W	2.140	2.115
YDR142C	1.083	1.794
YDR143C	1.144	2.222
YDR148C	1.075	1.919
YDR149C	0.445	0.083
YDR150W	1.313	1.625
YDR151C	1.082	1.739
YDR152W	1.046	1.614
YDR153C	1.010	1.564
YDR154C	1.087	1.592
YDR155C	1.008	1.485
YDR156W	1.066	2.076
YDR157W	0.931	1.108
YDR158W	1.173	1.864
YDR159W	1.161	2.462
YDR161W	1.071	2.550
YDR162C	1.027	1.523
YDR163W	1.099	2.052
YDR165W	0.986	2.024
YDR169C	1.091	1.834
YDR169C-A	0.816	1.317
YDR171W	0.952	1.640
YDR173C	0.672	1.594
YDR174W	1.128	3.221
YDR175C	0.862	1.544
YDR176W	0.057	0.074
YDR178W	0.901	1.223
YDR179C	0.997	1.373
YDR181C	0.388	0.173
YDR182W-A	1.269	0.943
YDR183W	0.570	1.841
YDR184C	0.513	1.470
YDR185C	0.837	0.963
YDR186C	0.947	1.769
YDR191W	1.001	1.086
YDR192C	0.988	1.332
