orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YDR241W	1.16	
YDR242W	-0.19	
YDR243C		-0.61
YDR244W	0.64	
YDR246W		-0.43
YDR247W	1.05	
YDR248C	-1.09	
YDR249C	-0.86	
YDR250C	-1.31	
YDR251W	0.67	
YDR252W	0.56	
YDR253C	-3.56	
YDR254W	-0.82	
YDR255C	-2.36	
YDR256C	-0.45	
YDR257C	-2.36	
YDR258C	-0.64	
YDR259C	0.49	
YDR260C	-0.22	
YDR261C	0.71	
YDR262W	-1.24	
YDR263C	1.99	
YDR264C	-7.68	
YDR265W	0.0	
YDR266C	0.11	
YDR267C		-0.31
YDR268W	1.42	
YDR269C	0.15	
YDR270W	0.37	
YDR271C	-1.8	
YDR272W	0.41	
YDR273W	0.97	
YDR274C	-2.02	
YDR275W	-1.39	
YDR276C	3.78	
YDR277C	0.34	
YDR278C	-0.64	
YDR279W	-1.84	
YDR280W		-5.46
YDR281C	0.41	
YDR282C	-0.15	
YDR283C	0.04	
YDR284C	-0.52	
YDR285W	1.42	
YDR286C	-0.94	
YDR287W	1.54	
YDR288W		-0.92
YDR289C	-0.15	
YDR290W	0.45	
YDR291W	1.35	
YDR292C		1.29
YDR293C	-12.7	
YDR294C	0.19	
YDR295C	0.19	
YDR296W	1.27	
YDR297W	1.16	
YDR298C	3.15	
YDR299W		-4.35
YDR300C	-0.52	
YDR301W		-0.67
YDR302W		-0.8
YDR303C		0.74
YDR304C	1.05	
YDR305C	-1.24	
YDR306C	0.45	
YDR307W	-0.6	
YDR308C		-0.49
YDR309C	0.07	
YDR310C	-0.64	
YDR311W		0.0
YDR312W	0.22	
YDR313C	-0.11	
YDR314C	-1.16	
YDR315C	-0.3	
YDR316W	-0.56	
YDR317W	-0.19	
YDR318W	-0.75	
YDR319C	0.26	
YDR320C	-2.29	
YDR320C-A		0.8
YDR321W	1.87	
YDR322W	2.17	
YDR323C	0.22	
YDR324C		-0.55
YDR325W		0.18
