ORF	hap a | growth (relative abundance in pooled culture) | ethidium bromide [25 ug/ml] | Dunn CD~Jensen RE, 2006
YFL052W	2.309
YKL190W	2.309
YLR241W	2.309
YMR153C-A	2.309
YNL257C	2.315
YOL116W	2.315
YOR239W	2.320
YJL119C	2.326
YLR319C	2.331
YDL050C	2.336
YDR401W	2.336
YML096W	2.336
YDL054C	2.342
YHL014C	2.342
YIL173W	2.342
YGL165C	2.347
YIL130W	2.347
YOR368W	2.347
YPR121W	2.347
YJL039C	2.353
YJR089W	2.353
YML021C	2.353
YDR110W	2.358
YJL179W	2.358
YKL171W	2.358
YMR062C	2.364
YPR156C	2.364
YDR172W	2.370
YML100W	2.370
YCR067C	2.375
YDR029W	2.375
YGR023W	2.375
YNL321W	2.375
YOR298W	2.375
YER079W	2.381
YER097W	2.381
YFL013W-A	2.381
YKL185W	2.381
YMR091C	2.381
YBR222C	2.387
YDR422C	2.387
YHR110W	2.392
YIR027C	2.392
YMR319C	2.392
YJL095W	2.398
YEL065W	2.404
YIR044C	2.404
YNL274C	2.404
YDR502C	2.410
YGR207C	2.410
YHR136C	2.410
YOR227W	2.410
YDR135C	2.415
YCL047C	2.421
YNR065C	2.421
YKL147C	2.433
YDL093W	2.439
YGL215W	2.445
YHR156C	2.445
YJL100W	2.445
YLR450W	2.445
YDR496C	2.451
YNL093W	2.451
YNL299W	2.451
YOR051C	2.451
YNL333W	2.457
YJL105W	2.463
YBR250W	2.469
YDR057W	2.469
YDR122W	2.469
YER064C	2.469
YGR073C	2.469
YMR290W-A	2.469
YIR023W	2.475
YKL162C-A	2.475
YKR023W	2.481
YML075C	2.481
YJR080C	2.488
YKR041W	2.488
YBR156C	2.494
YGR108W	2.494
YLR402W	2.494
YNR040W	2.500
YAR050W	2.506
YDR319C	2.506
YGR009C	2.506
YGR172C	2.506
YIL125W	2.506
YCL028W	2.513
YIL163C	2.513
YNL216W	2.513
YGR059W	2.519
YGL243W	2.525
YGR144W	2.525
YOL013W-A	2.525
YBR019C	2.532
YCL076W	2.532
YER130C	2.532
YGR069W	2.532
YGR266W	2.532
YHR181W	2.532
YMR199W	2.532
YOL128C	2.532
YJL199C	2.538
YMR141C	2.538
YNL078W	2.538
YER044C-A	2.545
YGL090W	2.545
YGR188C	2.545
YJR043C	2.545
YBR061C	2.551
YER119C	2.551
YPR071W	2.551
YJL124C	2.558
YNR031C	2.558
YKL109W	2.564
YOL056W	2.564
YDL071C	2.571
YDR391C	2.571
YLR144C	2.571
YPR188C	2.571
YGL229C	2.577
YJL084C	2.577
YJL126W	2.577
YNR007C	2.584
YLR247C	2.591
YNL125C	2.591
YOR097C	2.591
YPL208W	2.591
YLR076C	2.597
YIL054W	2.604
YEL060C	2.611
YML041C	2.611
YGR273C	2.618
YGL181W	2.625
YOR086C	2.632
YPL107W	2.632
YDL177C	2.639
YER073W	2.639
YFR017C	2.646
YHR206W	2.646
YJR098C	2.646
YOR093C	2.646
YDL225W	2.653
YDR281C	2.653
YHR082C	2.653
YKR046C	2.653
YNR025C	2.653
YJL066C	2.667
YBR138C	2.674
YHR059W	2.674
YJR115W	2.674
YOL084W	2.674
YFR049W	2.681
YBL064C	2.688
YBR239C	2.688
YCL026C-A	2.688
YHR133C	2.688
YMR133W	2.688
YNR002C	2.688
YDL121C	2.695
YPR066W	2.695
YDR084C	2.703
YGL086W	2.703
YBL048W	2.710
YGR041W	2.710
YGR238C	2.710
YBR107C	2.717
YER163C	2.717
YGR292W	2.725
YHR004C	2.725
YKL069W	2.725
YKR105C	2.732
YDL066W	2.740
YGR051C	2.740
YJL145W	2.740
YOR066W	2.740
YKL022C	2.747
YGR044C	2.755
YDL051W	2.762
YGR286C	2.762
YLL062C	2.762
YKR096W	2.770
YIL108W	2.778
YIL139C	2.778
YJR128W	2.778
YOR069W	2.778
YOR280C	2.786
YJR116W	2.793
YDL048C	2.801
YDL080C	2.801
YIL037C	2.801
YLR063W	2.801
YLR154C	2.801
YOR044W	2.801
YPR148C	2.801
YCR101C	2.809
YGL177W	2.809
YMR140W	2.809
YFL033C	2.817
YFR026C	2.817
YCL043C	2.825
YDR205W	2.825
YHR155W	2.825
YLL053C	2.825
YLR343W	2.825
YNR023W	2.825
YOR226C	2.825
YPL049C	2.825
YFL034C-B	2.833
YMR085W	2.833
YDR098C	2.841
YDR216W	2.841
YGL034C	2.841
YNL074C	2.841
YKL001C	2.849
YER086W	2.857
YLR250W	2.857
YBR087W	2.865
YCL034W	2.865
YMR222C	2.865
YNL279W	2.865
YNR024W	2.865
YBR204C	2.874
YGR259C	2.874
YLL054C	2.874
YLR341W	2.874
YMR054W	2.874
YOL016C	2.874
YOL113W	2.874
YKR003W	2.882
YDR309C	2.890
YLR288C	2.890
YMR088C	2.890
YNL268W	2.890
YOR072W	2.890
YFL031W	2.907
YMR172W	2.907
YDL091C	2.915
YDR159W	2.915
YNR074C	2.915
YNL129W	2.924
YOL091W	2.924
YIL140W	2.933
YPL019C	2.933
YGL096W	2.941
YGR217W	2.941
YJR119C	2.941
YCR102W-A	2.950
YDR352W	2.950
YGL141W	2.950
YBR076W	2.959
YDR142C	2.959
YJL051W	2.959
YKL222C	2.959
YOR018W	2.959
YOR219C	2.959
YDR368W	2.967
YER147C	2.967
YJR020W	2.967
YLR012C	2.967
YLR017W	2.967
YNR008W	2.967
YOR230W	2.967
YPR079W	2.967
YDL070W	2.976
YDR030C	2.976
YDR475C	2.976
YGL004C	2.976
YOL032W	2.976
YOL051W	2.976
YKR067W	2.985
YOR111W	2.985
YPL199C	2.985
YNL144C	2.994
YER110C	3.003
YER124C	3.003
YGL109W	3.003
YLL017W	3.003
YGL021W	3.012
YGL127C	3.012
YKR098C	3.012
YOR229W	3.012
YBR264C	3.021
YDL144C	3.021
YOR315W	3.021
YER085C	3.030
YGL080W	3.030
YPR185W	3.030
YIL146C	3.040
YKL117W	3.040
YLR046C	3.040
YOL053W	3.040
YBR199W	3.049
YLR136C	3.049
YPL219W	3.049
YDL178W	3.058
YNL018C	3.058
YNL066W	3.067
YNL329C	3.067
YDL241W	3.077
YDR183W	3.077
YEL013W	3.077
YER043C	3.077
YMR069W	3.077
YCL030C	3.086
YGR115C	3.086
YMR299C	3.086
YNL218W	3.086
YOR087W	3.086
YPL198W	3.086
YLL020C	3.096
YGL051W	3.106
YMR113W	3.106
YNL116W	3.106
YDR009W	3.115
YDR014W	3.125
YKL051W	3.125
YLR405W	3.125
YBL104C	3.135
YKL140W	3.135
YBR242W	3.145
YDR537C	3.145
YIL101C	3.145
YKL098W	3.145
YBR208C	3.155
YDR305C	3.155
YJL106W	3.155
YMR279C	3.155
YNR058W	3.155
YJR093C	3.165
YLR187W	3.165
YOL104C	3.165
YOR383C	3.165
YOR022C	3.175
YER179W	3.185
YGR043C	3.185
YJR024C	3.185
YOL083W	3.185
YJR146W	3.195
YLR151C	3.195
YBL019W	3.205
YDR392W	3.205
YLR266C	3.205
YMR215W	3.205
YOL114C	3.205
YBL049W	3.215
YBR187W	3.215
YJL163C	3.215
YMR304C-A	3.215
YHR093W	3.226
YLR174W	3.226
YOR075W	3.226
YPL121C	3.226
YBL061C	3.236
YGR097W	3.236
YDL131W	3.247
YDR214W	3.247
YGR203W	3.247
YJR025C	3.247
YJR039W	3.247
YPL050C	3.247
YCR049C	3.268
YDR022C	3.268
YGR149W	3.268
YKR042W	3.268
YLL039C	3.268
YDR164C	3.279
YMR055C	3.279
YOL158C	3.279
YDR127W	3.289
YLR050C	3.289
YPL039W	3.289
YPL223C	3.289
YPL243W	3.289
YDR438W	3.300
YDR306C	3.311
YEL028W	3.311
YLL046C	3.311
YPL089C	3.311
YPL149W	3.311
YPR176C	3.311
YEL045C	3.322
YIL132C	3.322
YLR417W	3.322
YOR276W	3.322
YDR400W	3.333
YJL103C	3.333
YKL092C	3.333
YML022W	3.333
YML118W	3.333
YDR402C	3.344
YLR307W	3.344
YLR408C	3.344
YNL043C	3.356
YPR098C	3.356
YDR465C	3.367
YER093C-A	3.367
YGL254W	3.367
YHR130C	3.367
YJR096W	3.367
YOL048C	3.367
YDL024C	3.378
YER014C-A	3.378
