orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YDR438W	0.014389999999999998
YDR439W	-0.057210000000000004
YDR440W	-0.140925
YDR441C	0.11507999999999999
YDR444W	-0.149455
YDR445C	0.25122
YDR446W	0.11544
YDR447C	0.301955
YDR451C	-0.12417
YDR452W	0.10676000000000001
YDR453C	-0.07217000000000001
YDR455C	-0.303585
YDR458C	-0.048799999999999996
YDR459C	-0.07764
YDR461W	-0.20665
YDR463W	0.30971000000000004
YDR465C	0.215425
YDR466W	-0.176735
YDR467C	-0.084875
YDR469W	-0.26233
YDR471W	0.130765
YDR475C	-0.012272499999999999
YDR476C	0.10561
YDR477W	-0.0157
YDR479C	0.161665
YDR480W	0.104155
YDR481C	0.21352500000000002
YDR482C	0.165415
YDR483W	-0.0629
YDR485C	0.137495
YDR486C	-0.15969
YDR488C	0.258875
YDR490C	-0.03875999999999999
YDR491C	0.219365
YDR492W	0.041650000000000006
YDR493W	0.200455
YDR494W	-0.022735
YDR496C	0.015854999999999998
YDR497C	0.17004000000000002
YDR500C	-0.388775
YDR501W	0.016175
YDR502C	0.04850499999999999
YDR503C	0.097915
YDR504C	0.177735
YDR505C	0.070785
YDR506C	0.101515
YDR508C	0.05585
YDR509W	0.01659
YDR511W	-0.04854
YDR512C	0.254595
YDR513W	0.019360000000000002
YDR514C	-0.14228
YDR515W	0.138185
YDR516C	-0.190525
YDR517W	0.04224
YDR519W	0.047505
YDR520C	0.107235
YDR522C	-0.100055
YDR524C	-0.034894999999999995
YDR525W	-0.18721500000000002
YDR525W-A	0.011499999999999996
YDR528W	0.05363
YDR530C	-0.128535
YDR532C	-0.06049
YDR533C	-0.04682499999999999
YDR534C	-0.098645
YDR535C	-0.217215
YDR536W	-0.02191
YDR537C	0.011130000000000001
YDR538W	0.20953500000000003
YDR539W	0.089725
YDR540C	-0.015260000000000003
YDR541C	-0.023759999999999996
YEL001C	0.09787
YEL003W	-0.09419
YEL004W	0.140535
YEL005C	0.020059999999999995
YEL006W	0.031224999999999996
YEL007W	0.43555
YEL008W	0.10552
YEL010W	-0.004250000000000004
YEL011W	0.10349
YEL012W	-0.14449499999999998
YEL013W	-0.222775
YEL014C	-0.027415
YEL015W	0.049975000000000006
YEL016C	0.0974
YEL017C-A	0.137825
YEL017W	0.01881
YEL020C	-0.129885
YEL023C	0.159135
YEL025C	-0.1027
YEL028W	-0.12961999999999999
YEL030W	-0.05104500000000001
YEL031W	-0.32348
YEL033W	0.48667000000000005
YEL037C	-0.51472
YEL038W	-0.14487
YEL039C	-0.11673
YEL040W	-0.018805000000000002
YEL041W	0.10843499999999999
YEL042W	-0.15942
