ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YCL003W	97.467	77.227	84.381	5.167	5.144	5.935
YCL005W	103.024	101.376	95.681	5.211	5.289	6.081
YCL006C	96.853	74.102	103.206	5.317	5.321	5.702
YCL007C	NaN	76.798	31.842	NaN	6.330	6.439
YCL008C	83.761	85.069	92.274	5.173	5.327	6.126
YCL009C	96.163	92.482	98.239	5.294	5.205	5.969
YCL010C	95.337	99.301	95.250	NaN	5.307	5.461
YCL011C	98.127	101.571	104.384	5.464	5.306	5.867
YCL012W	96.562	98.922	103.638	5.374	5.250	5.896
YCL013W	98.189	96.598	101.993	5.384	5.271	5.907
YCL014W	94.658	100.052	101.196	5.354	5.321	6.078
YCL016C	93.093	94.729	98.753	5.566	5.515	5.996
YCL022C	94.837	90.810	100.487	5.327	5.360	5.935
YCL023C	91.986	91.689	97.244	5.325	5.340	5.923
YCL024W	102.517	102.272	102.687	5.437	5.289	5.951
YCL025C	121.658	113.347	104.551	5.569	5.374	5.893
YCL026C	100.921	99.610	93.560	5.468	5.286	6.107
YCL026C-A	106.335	104.367	97.975	5.282	5.308	5.525
YCL027W	109.946	96.209	87.171	5.571	5.357	6.043
YCL028W	105.925	98.663	93.521	5.369	5.286	6.116
YCL029C	103.484	91.937	98.959	5.441	5.283	5.960
YCL030C	103.222	93.172	97.382	4.959	4.876	5.643
