orf	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YDL142C	96.7741935483871
YDL144C	74.68354430379746
YDL146W	63.44086021505376
YDL149W	75.92592592592592
YDL151C	60.526315789473685
YDL154W	45.26315789473684
YDL156W	59.74025974025974
YDL157C	77.5
YDL159W	54.794520547945204
YDL159W-A	34.92905096124504
YDL160C-A	38.48039215686275
YDL161W	78.75
YDL162C	83.78378378378379
YDL168W	70.0
YDL169C	73.49397590361446
YDL170W	74.11764705882354
YDL171C	55.03875968992248
YDL172C	39.24050632911392
YDL173W	40.65934065934066
YDL174C	45.20547945205479
YDL175C	59.67741935483871
YDL176W	70.27027027027027
YDL177C	73.84615384615385
YDL178W	82.1917808219178
YDL179W	65.82278481012658
YDL180W	75.36231884057972
YDL181W	68.42105263157895
YDL182W	57.95454545454546
YDL183C	55.88235294117647
YDL184C	54.054054054054056
YDL186W	45.45454545454545
YDL187C	48.148148148148145
YDL188C	64.93506493506493
YDL189W	48.0
YDL190C	50.66666666666667
YDL191W	59.74025974025974
YDL192W	67.6056338028169
YDL194W	79.6875
YDL197C	68.11594202898551
YDL198C	75.0
YDL199C	76.5432098765432
YDL200C	77.77777777777779
YDL201W	61.95652173913043
YDL203C	18.0
YDL204W	53.956834532374096
YDL210W	57.692307692307686
YDL211C	60.29411764705882
YDL213C	75.0
YDL214C	61.72839506172839
YDL215C	53.96825396825397
YDL216C	86.20689655172413
YDL218W	75.36231884057972
YDL219W	91.66666666666666
YDL222C	62.06896551724138
YDL223C	49.494949494949495
YDL224C	55.26315789473685
YDL225W	94.73684210526315
YDL226C	44.73684210526316
YDL227C	63.013698630136986
YDL229W	63.76811594202898
YDL230W	71.42857142857143
YDL231C	71.05263157894737
YDL232W	71.7948717948718
YDL233W	83.78378378378379
YDL234C	79.26829268292683
YDL236W	67.77777777777779
YDL237W	67.3469387755102
YDL238C	51.181102362204726
YDL239C	43.373493975903614
YDL240W	35.714285714285715
YDL241W	55.84415584415584
YDL242W	55.84415584415584
YDL243C	74.64788732394366
YDR001C	69.01408450704226
YDR003W	88.73239436619718
YDR003W-A	48.30508474576271
YDR004W	93.33333333333333
YDR005C	72.72727272727273
YDR006C	59.210526315789465
YDR007W	93.54838709677419
YDR008C	61.25000000000001
YDR009W	61.32075471698113
YDR010C	51.162790697674424
YDR011W	35.0
YDR014W	49.23076923076923
YDR015C	61.76470588235294
YDR017C	73.91304347826086
YDR018C	71.875
YDR019C	58.97435897435898
YDR020C	73.13432835820896
YDR022C	64.28571428571429
YDR024W	51.515151515151516
YDR025W	47.95918367346938
YDR026C	45.63106796116505
YDR027C	87.5
YDR028C	53.333333333333336
YDR029W	54.11764705882353
YDR030C	44.554455445544555
YDR031W	60.24096385542169
YDR032C	41.904761904761905
YDR033W	46.464646464646464
YDR034C	49.51456310679612
YDR034W-B	45.630927596576456
YDR035W	49.473684210526315
YDR036C	56.730769230769226
YDR042C	58.333333333333336
YDR043C	24.0
YDR046C	50.617283950617285
YDR048C	64.55696202531645
YDR049W	36.144578313253014
YDR050C	49.45054945054945
YDR051C	45.33333333333333
YDR055W	37.03703703703704
YDR056C	37.2093023255814
YDR057W	51.42857142857142
YDR058C	51.68539325842697
YDR059C	46.34146341463415
YDR061W	48.80952380952381
YDR063W	46.913580246913575
YDR065W	85.71428571428571
YDR066C	40.78947368421053
YDR067C	48.275862068965516
YDR068W	54.0
YDR069C	35.714285714285715
YDR070C	41.48936170212766
YDR071C	51.578947368421055
YDR072C	37.77777777777778
YDR073W	35.80246913580247
YDR074W	53.40909090909091
YDR075W	38.2716049382716
YDR076W	36.986301369863014
YDR077W	44.086021505376344
YDR078C	50.0
YDR079C-A	44.49954400364797
YDR079W	54.09836065573771
YDR080W	50.68493150684932
YDR083W	60.273972602739725
YDR084C	44.0
YDR085C	34.883720930232556
YDR089W	45.348837209302324
YDR090C	51.24999999999999
YDR092W	53.76344086021505
YDR093W	60.75949367088608
YDR094W	59.036144578313255
YDR095C	56.09756097560976
YDR096W	43.83561643835616
YDR097C	44.871794871794876
YDR098C	49.333333333333336
YDR099W	58.415841584158414
YDR100W	33.0
YDR101C	45.45454545454545
YDR102C	50.0
YDR103W	53.246753246753244
YDR104C	42.69662921348314
YDR105C	45.45454545454545
YDR107C	42.168674698795186
YDR108W	54.054054054054056
YDR109C	64.38356164383562
YDR110W	48.05194805194805
YDR111C	41.55844155844156
YDR112W	61.6822429906542
YDR116C	54.285714285714285
YDR117C	51.388888888888886
YDR119W	39.743589743589745
YDR120C	32.3943661971831
YDR121W	45.0
YDR122W	47.14285714285714
YDR123C	67.16417910447761
YDR124W	52.0
YDR125C	48.57142857142857
YDR126W	55.55555555555556
YDR127W	23.0
YDR128W	50.602409638554214
YDR129C	53.65853658536586
YDR130C	53.01204819277109
YDR131C	39.130434782608695
YDR132C	44.44444444444444
YDR133C	44.70588235294118
YDR135C	70.3125
YDR136C	38.46153846153847
YDR137W	39.285714285714285
YDR138W	72.8395061728395
YDR139C	39.285714285714285
YDR140W	43.42105263157895
YDR142C	45.88235294117647
YDR143C	65.71428571428571
YDR144C	56.41025641025641
YDR146C	50.588235294117645
YDR147W	67.16417910447761
YDR148C	42.857142857142854
YDR149C	50.0
YDR150W	39.39393939393939
YDR151C	52.307692307692314
YDR152W	52.63157894736842
YDR153C	53.42465753424658
YDR154C	65.71428571428571
YDR155C	62.33766233766234
YDR156W	80.0
YDR157W	60.75949367088608
YDR158W	50.68493150684932
YDR161W	48.05194805194805
YDR162C	0.0
YDR163W	48.484848484848484
YDR165W	69.11764705882352
YDR169C	81.66666666666667
YDR169C-A	52.736697114687544
YDR171W	57.57575757575758
YDR173C	46.3768115942029
YDR174W	46.34146341463415
YDR175C	66.10169491525424
YDR176W	87.75510204081633
YDR178W	58.2089552238806
YDR179C	60.0
YDR179W-A	83.07692307692308
YDR181C	54.54545454545454
YDR182W-A	53.053463299364935
YDR183W	61.64383561643836
YDR184C	52.0
YDR185C	62.68656716417911
YDR186C	79.48717948717949
YDR191W	55.55555555555556
YDR192C	69.33333333333334
YDR193W	46.15384615384615
YDR194C	100.0
YDR194W-A	60.770440251572325
YDR195W	83.72093023255815
YDR197W	82.6923076923077
YDR198C	66.66666666666666
YDR199W	51.06382978723404
YDR200C	40.909090909090914
YDR202C	50.0
YDR203W	36.0
YDR204W	72.22222222222221
YDR205W	47.474747474747474
YDR206W	66.19718309859155
YDR207C	38.983050847457626
YDR209C	65.78947368421053
YDR210W	73.91304347826086
YDR213W	65.82278481012658
YDR214W	53.246753246753244
YDR215C	51.515151515151516
YDR216W	55.4054054054054
YDR217C	50.526315789473685
YDR218C	53.246753246753244
YDR219C	38.35616438356164
YDR220C	47.14285714285714
YDR221W	46.25
YDR222W	48.19277108433735
YDR223W	74.32432432432432
YDR225W	49.42528735632184
YDR226W	75.60975609756098
YDR227W	50.0
YDR229W	47.88732394366197
YDR230W	68.25396825396825
YDR231C	60.0
YDR233C	49.43820224719101
YDR234W	50.0
YDR237W	63.63636363636363
YDR239C	32.71028037383177
YDR241W	65.21739130434783
YDR242W	51.35135135135135
YDR244W	48.05194805194805
YDR246W-A	57.20628763907318
YDR247W	55.55555555555556
YDR248C	54.666666666666664
YDR249C	50.0
YDR250C	41.57303370786517
YDR251W	40.74074074074074
YDR252W	40.42553191489361
YDR253C	46.98795180722892
YDR254W	50.0
YDR255C	45.45454545454545
YDR256C	49.39759036144578
YDR257C	34.065934065934066
YDR258C	42.5287356321839
YDR259C	59.25925925925925
YDR261C	51.85185185185185
YDR262W	53.75
YDR263C	54.54545454545454
YDR264C	48.23529411764706
YDR265W	67.64705882352942
YDR266C	58.666666666666664
YDR269C	59.45945945945946
YDR270W	63.85542168674698
YDR271C	53.01204819277109
YDR272W	59.523809523809526
YDR273W	60.68376068376068
YDR274C	80.76923076923077
YDR275W	55.072463768115945
YDR277C	77.96610169491525
YDR278C	76.47058823529412
YDR279W	83.05084745762711
YDR281C	61.97183098591549
YDR282C	62.121212121212125
YDR284C	70.37037037037037
YDR285W	54.054054054054056
YDR286C	74.60317460317461
YDR287W	63.26530612244898
YDR289C	44.0
YDR290W	36.231884057971016
YDR291W	55.072463768115945
YDR293C	73.21428571428571
YDR294C	71.62162162162163
YDR295C	65.57377049180327
YDR297W	76.47058823529412
YDR304C	60.0
YDR305C	55.55555555555556
YDR306C	57.14285714285714
YDR307W	15.0
YDR309C	41.77215189873418
YDR310C	60.86956521739131
YDR312W	60.9375
YDR313C	57.971014492753625
YDR314C	60.0
YDR315C	45.20547945205479
YDR316W	65.0
YDR317W	63.63636363636363
YDR318W	50.72463768115942
YDR319C	44.44444444444444
YDR320C	57.57575757575758
YDR321W	51.42857142857142
YDR322C-A	52.19201359388275
YDR322W	54.285714285714285
YDR323C	52.85714285714286
YDR326C	41.73913043478261
YDR329C	68.25396825396825
YDR330W	56.33802816901409
YDR332W	62.121212121212125
YDR333C	48.61111111111111
YDR334W	59.42028985507246
YDR335W	70.0
YDR336W	46.75324675324675
YDR337W	59.01639344262295
YDR338C	51.162790697674424
YDR340W	54.54545454545454
YDR344C	60.0
YDR345C	45.45454545454545
YDR346C	43.333333333333336
YDR348C	32.967032967032964
YDR349C	29.268292682926827
YDR350C	68.18181818181817
YDR351W	48.717948717948715
YDR352W	48.86363636363637
YDR354W	56.94444444444444
YDR357C	55.84415584415584
YDR358W	49.31506849315068
YDR359C	47.368421052631575
YDR360W	28.915662650602407
YDR363W	45.588235294117645
YDR363W-A	55.00000000000001
YDR368W	54.08163265306123
YDR369C	31.57894736842105
YDR370C	48.93617021276596
YDR371W	51.08695652173913
YDR372C	24.0
YDR374C	48.38709677419355
YDR375C	50.0
YDR379C-A	43.8052776569523
YDR379W	53.75
YDR380W	55.91397849462365
YDR382W	64.70588235294117
YDR383C	41.66666666666667
YDR384C	29.896907216494846
YDR385W	32.5
