orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YCR069W	-0.1515799841246378
YCR071C	-0.1465132084591629
YCR073C	-0.07425887413943463
YCR073W-A	-0.07540913287943209
YCR075C	-0.11415253380476037
YCR076C	-0.016819772662775623
YCR077C	-0.4188337602515666
YCR079W	-0.27044950007298435
YCR081W	-0.41511591350168675
YCR082W	-0.23477794196730206
YCR083W	0.19336870283946245
YCR084C	-0.2327180314639871
YCR085W	0.23510733275633555
YCR086W	0.21602434172486396
YCR087C-A	0.2831005603615333
YCR087W	0.37421178016866086
YCR088W	0.10665978156509741
YCR089W	-0.05432895255853221
YCR090C	-0.014984967686870214
YCR091W	-0.06181892370937563
YCR092C	-0.257583089808469
YCR094W	0.472595396634913
YCR095C	0.045565249311195696
YCR098C	0.0016684793287326941
YCR099C	-0.012443492421132444
YCR100C	0.0502638191321755
YCR101C	-0.1396119328205291
YCR102C	-0.03586838949859773
YCR102W-A	-0.08378248771050031
YCR105W	-0.13407393256099287
YCR106W	-0.11746057131063183
YCR107W	-0.15001532151877356
YDL001W	-0.2726812761653944
YDL002C	-0.5851461777531702
YDL005C	-0.24412273654709518
YDL006W	-0.1827943918441522
YDL009C	0.051529223335887005
YDL010W	0.1397989692901076
YDL011C	-0.1569813897057785
YDL012C	0.07073426595784059
YDL013W	0.12340231310331043
YDL018C	0.2631378756592925
YDL019C	-0.056046215453435
YDL020C	0.03529970593693109
YDL021W	-0.14554781633548547
YDL022W	-0.247580376062013
YDL023C	-0.10295671970922764
YDL024C	-0.2414748849220466
YDL025C	0.32291819822781126
YDL026W	0.39769694366000163
YDL027C	0.019507137083331755
YDL032W	-0.14917086903071994
YDL033C	-0.06552395557125615
YDL034W	-0.11550103282498271
YDL035C	-0.25377247648000406
YDL036C	0.11488848883676932
YDL037C	-0.08823805898674152
YDL039C	-0.2159676656894885
YDL040C	-0.1321657407597815
YDL041W	-0.016437006087286585
YDL042C	0.4347990364235924
YDL044C	-0.11029942507718464
YDL045W-A	-0.011745883345442338
YDL046W	0.2551030074820184
YDL047W	0.006741887573487696
YDL048C	0.19324524400194595
YDL049C	-0.052226041667570784
YDL050C	-0.23493915483360298
YDL051W	-0.10493128751448533
YDL052C	0.21553264899192817
YDL053C	0.6895437498873287
YDL054C	0.2620933970548755
YDL056W	0.6402797059205293
YDL057W	0.49698521826840586
YDL059C	0.2723273143371131
YDL061C	0.5435027059556173
YDL062W	0.11922861880121649
YDL063C	0.48050601274810195
YDL065C	0.31488562815927607
YDL066W	-0.06809287075719539
YDL067C	0.2882536726556454
YDL068W	0.7048498477478268
YDL069C	1.1656805936388919
YDL070W	0.599172466554381
YDL071C	0.5509266961835754
YDL072C	0.26230009317834824
YDL073W	0.21603683187803627
YDL074C	0.1322723013069656
YDL075W	-0.05107301529993043
YDL076C	-0.23373297017828262
YDL077C	0.034298506493206024
YDL078C	-0.0392358948953655
YDL079C	-0.21729313207037376
YDL080C	0.17001488125362366
YDL081C	-0.025917386550517032
YDL082W	0.1190339796773148
YDL083C	-0.13324491573032396
YDL085W	0.1136115569606986
YDL086W	-0.17530182960539956
YDL088C	0.07867633387505993
YDL089W	-0.18991056844615534
YDL090C	-0.28863786384828705
YDL091C	-0.11084667172546128
YDL093W	-0.14610109820602768
YDL094C	-0.1096631524243546
YDL095W	-0.1635811803459452
YDL096C	0.02029099116200808
YDL099W	-0.09626819960882312
YDL100C	-0.10211698816644454
YDL101C	-0.49043655667587277
YDL104C	0.44387323374237264
YDL106C	0.010222455159342477
YDL107W	-0.05263991226405238
YDL109C	-0.11318592836611589
