ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YMR092C	0.889	2.630	5.515	2.157	1.051	1.300	2.413	1.189	1.171	10.530	0.717	1.301	0.567	0.935	0.739	0.523
YIL079C	NaN	2.386	1.672	0.891	1.121	0.965	1.269	1.189	1.394	0.640	0.611	1.507	2.128	1.623	6.014	4.396
YDL175C	0.500	0.851	NaN	0.902	0.866	1.038	0.917	0.499	1.174	1.110	0.804	1.073	0.797	0.931	2.575	1.221
YBR059C	14.231	1.289	2.805	0.322	1.139	1.006	0.784	0.747	0.907	0.389	0.863	0.769	2.553	1.562	3.434	3.146
YDR264C	1.000	0.678	7.247	0.000	0.741	0.421	0.936	0.714	0.470	NaN	0.911	0.434	1.490	3.894	0.391	1.243
YOR034C	NaN	0.483	0.691	0.802	0.874	1.041	0.785	1.274	0.892	1.147	0.820	0.836	0.640	0.353	0.904	0.000
YJL122W	NaN	0.659	NaN	0.220	0.769	0.769	0.662	0.404	1.016	1.159	0.641	0.718	0.473	0.867	0.616	0.334
YMR170C	NaN	1.050	0.088	0.558	1.170	0.518	1.388	1.218	0.551	0.788	1.775	0.942	0.982	0.860	1.234	3.308
YMR169C	0.114	0.471	0.382	1.482	0.616	0.755	0.361	0.511	0.793	0.179	0.641	0.526	0.520	0.300	0.710	1.237
YOR374W	2.269	1.260	0.410	0.531	0.948	1.103	1.214	0.799	1.323	0.506	0.976	1.073	1.310	1.065	1.648	2.415
YER073W	1.000	0.970	NaN	NaN	0.778	0.990	0.944	0.846	0.945	0.350	0.936	0.453	0.368	0.554	0.454	6.810
YPL061W	NaN	0.851	NaN	1.438	0.853	0.855	1.135	0.098	1.211	0.985	0.796	0.998	0.788	0.527	1.083	2.290
YNL148C	NaN	0.486	NaN	1.171	0.981	0.789	0.507	0.280	0.753	0.704	0.781	0.365	2.801	0.970	1.986	1.123
YNR030W	0.500	0.867	NaN	0.608	0.917	0.944	1.059	0.856	1.036	0.557	1.027	0.917	0.996	1.086	1.358	0.896
YBL082C	NaN	0.487	0.000	0.357	1.269	1.017	0.686	0.478	1.853	0.744	1.455	0.549	1.005	0.473	1.468	0.621
YPL227C	NaN	1.105	0.505	0.483	1.127	1.047	0.688	0.943	1.186	0.433	1.230	0.794	0.532	1.036	2.156	0.550
YOR002W	NaN	0.508	6.481	0.869	0.607	0.755	0.809	0.856	0.629	0.403	0.916	0.448	0.523	0.359	0.838	0.914
YOR067C	NaN	0.599	0.382	0.483	1.029	1.075	1.320	0.786	1.525	0.956	1.242	0.817	1.177	0.518	2.250	0.657
YNL219C	0.200	1.354	NaN	0.406	0.926	1.296	1.220	0.747	1.212	1.368	0.809	0.934	0.466	1.450	0.758	6.012
YGL021W	NaN	0.795	NaN	0.551	1.103	1.227	0.662	1.292	0.979	0.474	1.046	0.855	0.696	0.778	0.966	0.843
YBL009W	NaN	0.893	NaN	1.377	0.920	0.825	1.011	0.984	0.751	0.510	0.907	1.002	0.691	0.902	1.186	1.485
YML086C	NaN	0.935	NaN	3.634	1.091	1.043	2.484	1.374	1.871	1.677	1.299	3.317	0.745	1.200	2.774	3.730
YNL270C	NaN	1.078	NaN	0.110	0.880	1.152	1.261	1.074	1.477	0.926	0.916	1.303	0.763	0.687	1.093	0.464
YFL050C	NaN	0.309	0.000	0.511	1.010	0.853	0.608	0.571	0.565	0.276	1.099	0.432	0.272	0.434	0.700	0.411
YGR225W	NaN	1.159	0.728	NaN	0.981	0.997	1.372	0.526	1.645	1.479	0.885	1.362	0.935	1.017	1.222	1.570
YML035C	NaN	0.795	0.677	NaN	0.778	0.520	0.344	0.659	0.361	1.465	0.679	0.521	1.906	0.587	1.602	1.633
YDR242W	0.388	0.833	0.432	2.450	1.008	1.006	0.840	11.128	0.807	0.636	0.868	0.936	0.880	1.132	5.554	0.660
YBR158W	NaN	0.885	NaN	NaN	1.050	1.290	0.981	NaN	0.968	0.988	1.084	0.961	0.379	1.046	1.867	2.558
YGL156W	0.000	0.972	1.180	1.997	0.885	1.059	0.990	0.761	1.024	0.946	0.757	1.029	0.793	0.920	4.338	0.314
YJR047C	0.466	0.766	0.524	0.423	0.793	1.000	0.546	0.192	1.006	0.702	0.931	1.049	0.737	1.011	0.352	NaN
YEL036C	NaN	1.765	NaN	0.714	0.838	1.153	1.027	1.742	0.999	0.400	0.953	0.751	1.173	2.327	1.368	1.313
YCL050C	0.000	0.598	0.519	0.359	0.956	0.824	0.771	1.711	0.612	0.443	0.928	0.833	0.586	0.818	0.438	1.119
YDR530C	NaN	0.896	1.462	1.526	1.030	1.055	0.947	NaN	0.946	1.148	1.025	0.899	0.486	0.703	1.032	1.441
YLR102C	NaN	1.076	1.998	0.463	0.960	1.382	1.195	1.013	1.377	1.080	0.968	1.182	0.513	0.889	3.740	4.966
YBR151W	0.000	0.211	0.323	1.978	1.096	0.496	0.539	0.263	0.608	0.619	0.748	0.489	0.531	0.476	1.117	1.487
YKL157W	0.160	0.632	NaN	0.164	0.878	0.911	0.845	1.071	0.746	0.496	1.080	0.842	0.464	0.775	1.851	2.258
YBR286W	NaN	0.302	NaN	0.211	0.770	0.982	0.287	1.539	0.255	0.252	0.691	0.487	0.480	0.123	1.791	1.946
YDR525W	NaN	1.884	NaN	2.971	1.316	1.162	1.790	2.612	1.255	1.179	0.958	1.661	0.634	1.324	3.051	1.535
YNL077W	1.000	0.620	NaN	0.000	0.900	0.871	1.632	0.993	1.103	0.000	1.239	0.990	0.656	0.638	1.000	2.923
YJR005W	NaN	0.762	0.497	0.660	1.245	0.816	0.599	1.535	0.729	0.414	0.489	0.436	0.840	0.890	0.986	0.994
YKL135C	0.408	0.613	0.331	1.144	1.019	0.872	0.871	0.253	1.234	0.760	1.290	0.801	1.387	1.397	0.116	0.762
YBL037W	NaN	0.804	2.559	NaN	1.117	1.205	0.846	1.302	0.803	0.709	1.165	0.721	0.756	0.893	0.896	2.289
YPR029C	NaN	1.642	NaN	0.347	0.906	1.090	0.531	7.855	1.215	0.452	1.109	1.196	1.359	0.548	1.864	1.072
YPL195W	0.000	1.766	1.994	0.849	0.934	1.113	0.950	0.461	1.238	1.418	0.998	0.992	0.669	1.308	3.670	0.377
YGR261C	NaN	1.289	2.130	0.403	1.005	1.037	1.255	0.945	1.207	3.201	0.779	1.295	0.474	0.860	0.658	0.625
YPL259C	NaN	0.578	0.255	0.506	0.797	0.815	0.587	0.645	0.955	1.109	0.737	0.765	1.182	1.089	0.917	0.933
YHL019C	2.104	1.099	1.121	1.502	1.313	0.934	0.979	NaN	1.709	3.091	1.443	1.338	0.568	0.865	0.854	0.744
YBR288C	NaN	2.610	0.641	2.115	1.239	1.362	1.130	NaN	1.440	0.802	0.575	0.840	1.453	2.111	3.722	3.469
YOL062C	7.458	1.668	1.035	0.589	1.157	1.167	2.104	1.620	1.238	1.836	1.000	1.244	0.837	0.983	2.208	1.637
YBL019W	NaN	0.270	NaN	NaN	1.540	0.833	1.277	1.211	1.456	NaN	2.130	3.324	3.262	NaN	1.702	2.737
YNL094W	0.500	0.684	NaN	0.000	0.850	0.809	0.631	1.054	0.789	0.390	0.936	0.454	0.567	0.456	0.926	1.252
YIL040W	0.000	0.579	NaN	0.318	0.985	0.805	0.850	0.714	0.736	0.514	1.040	0.828	0.690	0.649	0.981	0.908
YLR170C	NaN	1.637	0.600	3.176	1.016	1.098	1.448	1.233	1.273	5.984	1.096	1.328	1.082	1.330	1.450	1.243
YJR058C	0.419	0.991	0.281	0.713	0.883	1.336	0.911	0.398	1.206	1.451	1.014	1.099	0.749	1.042	1.156	1.095
YJL024C	0.190	2.102	9.083	1.189	1.023	1.265	1.842	1.598	1.675	1.235	0.949	1.492	0.674	1.290	5.915	7.183
YML022W	NaN	0.898	1.950	NaN	0.882	0.879	0.979	1.046	0.932	0.426	0.728	1.014	0.282	0.615	0.808	4.391
YNL065W	0.235	2.689	0.040	0.756	1.154	1.126	1.991	4.107	1.312	1.741	1.322	2.120	0.539	2.358	5.211	4.497
YLL052C	1.622	0.979	0.167	9.452	1.818	0.627	0.827	0.658	1.057	0.592	1.201	0.790	0.709	0.642	1.145	0.768
YBR149W	NaN	0.610	0.458	0.135	1.048	1.209	1.601	0.357	1.336	1.390	0.330	1.588	0.965	NaN	2.945	3.349
YGL105W	NaN	1.936	1.692	2.632	1.746	1.522	1.622	6.442	1.542	2.006	1.720	1.796	3.619	NaN	1.340	0.533
YLR370C	NaN	0.673	1.899	NaN	0.879	1.069	1.225	1.084	1.050	0.582	0.876	0.904	1.720	0.307	1.550	1.647
YCR048W	0.000	0.934	3.582	NaN	0.985	0.874	0.643	0.988	0.713	0.678	1.028	0.621	1.692	1.178	0.287	2.394
YNR019W	0.500	0.608	NaN	0.000	0.844	0.977	0.735	0.639	0.885	0.384	1.044	0.538	0.579	0.459	0.809	0.995
YDL192W	NaN	0.442	0.209	0.000	1.162	0.666	0.979	0.920	0.411	1.000	1.322	0.541	1.449	0.299	1.406	1.845
YDL137W	0.943	1.459	2.626	0.532	0.872	1.189	1.544	2.559	0.826	1.414	1.015	1.098	0.421	0.866	1.649	2.548
YOR094W	NaN	0.466	0.894	NaN	0.722	0.753	0.704	0.609	0.840	1.178	0.752	0.723	0.596	0.612	0.722	NaN
YOL058W	10.903	0.055	4.014	40.621	0.900	0.580	1.975	1.057	0.173	0.541	0.669	0.781	3.980	3.677	1.919	0.946
YJL071W	13.136	1.000	6.614	0.000	1.576	0.864	1.400	NaN	1.083	1.574	0.982	0.746	3.332	0.543	5.048	NaN
YJL088W	1.010	0.087	1.135	5.608	0.929	0.911	2.148	0.143	0.428	0.384	0.571	0.384	4.007	3.505	1.361	NaN
YHR018C	NaN	0.110	3.368	12.431	1.024	0.347	0.819	NaN	0.384	0.175	0.558	0.431	3.023	1.874	1.020	2.089
YMR042W	1.052	0.870	0.648	1.583	0.498	1.043	1.033	1.116	0.702	0.971	0.837	0.689	0.485	0.353	3.253	2.985
YML099C	NaN	0.763	1.915	0.517	0.916	0.840	0.960	1.363	0.927	1.041	0.962	0.916	0.391	0.388	1.208	1.914
YDR173C	0.944	0.483	0.325	NaN	0.771	0.582	0.320	0.752	0.503	0.369	1.000	0.340	1.216	0.084	5.699	0.543
YNL020C	NaN	0.855	NaN	0.000	1.209	1.134	0.416	0.690	1.267	0.604	1.004	0.735	0.644	0.527	0.584	0.924
YBR164C	NaN	1.938	0.429	0.389	1.282	1.231	1.941	2.825	1.529	1.616	1.889	1.988	0.608	1.160	1.740	1.236
YPL051W	NaN	0.770	NaN	1.018	1.057	1.202	1.061	1.414	0.866	0.656	1.001	0.857	0.629	0.549	0.792	1.274
YHL040C	NaN	0.513	0.459	1.369	1.170	0.867	0.549	0.748	0.791	1.318	1.252	0.322	1.225	0.338	1.542	1.376
YHL047C	NaN	1.797	0.396	0.884	1.330	1.232	1.756	2.076	1.256	1.444	1.379	1.846	0.752	1.444	5.813	2.511
YDR127W	0.551	1.567	NaN	0.829	1.109	1.077	1.516	2.751	0.915	1.003	1.047	1.432	0.670	1.350	NaN	NaN
YDR380W	0.500	0.500	1.533	NaN	0.804	0.802	0.476	0.710	0.691	0.615	1.084	0.721	0.357	0.790	0.609	0.864
YGL148W	NaN	1.033	1.192	0.533	1.288	0.720	0.815	0.065	1.007	0.471	0.823	0.551	1.421	NaN	4.790	7.597
YDR035W	0.420	0.907	NaN	1.119	0.911	1.301	1.096	0.287	1.438	0.781	1.031	1.041	0.732	1.081	1.614	1.771
YBR249C	1.313	0.945	0.476	0.745	0.895	1.016	0.951	0.678	1.009	0.789	0.927	0.803	0.543	0.329	1.194	1.622
YPR060C	3.567	2.706	0.852	3.785	1.625	1.486	2.323	2.432	2.694	3.803	1.381	1.574	1.021	2.184	2.893	0.000
YGL202W	0.245	0.571	0.291	1.904	0.993	0.917	0.519	1.390	0.555	1.416	1.138	0.907	0.580	0.242	1.142	0.803
YDR421W	0.500	0.769	0.998	NaN	0.737	0.786	0.859	0.834	0.505	2.024	0.490	0.768	0.332	0.860	2.556	3.519
YHR137W	0.464	1.122	2.848	0.212	1.080	1.078	0.934	0.929	0.746	1.242	1.239	0.964	0.797	1.113	0.400	0.294
YHR129C	0.454	0.575	1.173	NaN	0.872	0.834	0.364	0.399	0.790	0.858	0.937	1.011	0.622	1.140	0.401	0.520
YLR085C	1.637	1.500	1.250	0.958	0.968	0.973	1.012	0.753	0.394	1.027	0.961	1.252	2.108	1.742	1.627	NaN
YOR141C	2.338	1.202	0.382	2.183	1.093	1.148	1.329	0.847	1.846	0.914	1.231	0.909	1.918	2.153	5.174	5.318
YPR201W	0.128	0.188	NaN	0.693	NaN	0.116	0.121	0.999	2.581	0.932	1.405	1.651	0.231	0.169	0.876	0.786
YLR242C	0.942	0.981	NaN	0.903	0.750	0.898	1.348	0.776	1.131	1.132	0.658	1.371	0.283	1.183	1.157	1.253
YDR101C	1.000	0.381	NaN	0.970	1.069	0.963	0.575	1.519	0.441	0.545	1.143	0.581	0.217	0.265	1.466	1.363
YOR058C	9.709	3.516	3.236	NaN	0.714	0.382	1.426	1.921	0.205	0.958	1.696	0.988	0.535	0.379	0.853	0.000
YJL115W	2.058	1.238	2.379	0.561	1.273	0.638	0.900	0.286	0.805	1.312	0.810	0.537	3.884	0.329	2.536	NaN
YDL197C	NaN	1.410	0.744	3.866	1.004	1.372	1.006	1.089	1.594	1.000	1.103	0.847	1.860	1.606	1.970	1.575
YJL170C	NaN	1.103	NaN	NaN	0.974	1.228	0.958	0.854	0.903	1.175	0.748	0.693	0.817	1.146	1.161	1.119
YKL185W	0.254	1.307	0.501	0.433	1.001	1.025	1.398	2.788	0.948	0.698	1.136	1.155	0.842	0.733	4.065	1.373
YMR119W	23.255	1.943	0.000	1.812	1.385	1.005	1.421	0.722	1.485	1.143	0.917	2.101	6.098	0.815	3.469	4.062
YNL159C	NaN	0.305	NaN	NaN	0.760	0.555	0.346	NaN	0.580	NaN	1.099	1.741	0.534	0.434	0.129	5.009
YNL008C	NaN	0.615	NaN	0.188	1.285	1.097	0.355	0.713	1.107	0.649	1.072	0.657	0.599	1.222	1.094	0.618
YGR097W	1.801	2.582	NaN	5.229	1.663	1.336	2.222	1.222	1.816	2.441	2.193	2.640	2.489	3.378	4.522	0.744
YDL088C	5.528	0.596	2.052	0.154	0.761	2.046	0.567	NaN	1.218	0.232	2.691	0.705	1.148	0.090	1.176	0.620
YDR321W	7.284	0.909	NaN	0.632	0.853	0.864	0.984	NaN	0.693	0.717	1.083	0.752	0.903	0.873	2.427	0.868
YPR093C	NaN	0.747	NaN	0.214	0.832	0.874	1.062	0.967	0.881	1.507	0.891	1.062	0.555	0.867	0.615	0.404
YBL069W	NaN	1.300	0.710	0.928	1.239	0.772	1.212	0.937	0.912	0.358	0.677	1.405	0.813	1.199	1.527	0.828
YER101C	0.000	1.319	NaN	0.900	0.895	0.986	1.137	1.251	0.971	1.281	1.007	1.281	0.712	1.687	3.137	7.284
YDR184C	NaN	0.779	NaN	1.060	0.785	0.744	1.259	0.765	0.715	NaN	0.787	0.720	0.713	0.815	1.097	1.078
YGL017W	0.500	0.662	NaN	0.863	1.054	1.016	0.655	1.086	0.810	1.040	1.176	0.870	0.675	0.643	1.586	0.890
YOR377W	1.642	1.822	1.499	NaN	0.926	0.843	0.895	0.719	1.437	0.605	1.105	1.259	1.469	1.192	2.356	2.966
YGR177C	NaN	0.780	1.066	NaN	0.762	0.954	1.456	0.910	1.184	0.799	0.856	1.231	0.455	0.718	1.761	1.012
YGL180W	0.168	0.193	0.690	0.805	0.998	0.790	0.698	0.541	0.937	0.982	1.133	0.867	1.429	0.000	5.225	3.835
YLL042C	1.362	0.830	1.151	NaN	0.762	0.650	0.936	NaN	0.927	0.976	0.577	1.027	0.399	NaN	0.789	0.652
YPR049C	0.512	1.201	0.958	0.974	1.040	1.174	0.738	1.113	0.981	0.543	1.233	1.227	0.669	1.175	1.628	0.692
YBR217W	NaN	0.891	0.488	0.694	0.684	0.769	1.091	0.843	0.871	0.540	0.886	0.635	0.890	1.100	1.183	0.516
YCR068W	NaN	0.852	NaN	1.473	1.293	1.040	0.499	2.930	0.538	0.778	1.795	0.476	2.429	6.669	7.409	8.502
YMR159C	NaN	0.926	2.093	0.313	0.930	0.989	0.741	0.624	1.181	1.071	0.497	0.821	1.046	0.850	1.581	2.336
YLR423C	8.266	0.789	0.885	3.002	1.238	1.186	0.505	0.730	1.336	NaN	0.795	1.018	4.027	1.324	1.364	1.028
YFR021W	NaN	0.695	NaN	0.740	1.391	1.046	1.241	8.137	0.535	1.220	1.044	0.780	0.848	0.788	0.904	23.987
YOL082W	NaN	1.736	1.261	0.234	1.002	1.288	1.186	0.922	1.265	0.353	0.884	1.000	0.677	1.213	2.471	0.312
YNL242W	NaN	4.400	NaN	2.094	1.910	2.074	2.156	2.504	1.729	4.435	3.539	3.400	1.139	3.352	2.855	2.355
YDL113C	0.216	0.867	0.204	0.388	0.859	1.084	1.112	1.233	1.038	0.907	0.954	1.066	0.510	0.746	1.340	0.986
YPL100W	NaN	0.882	1.820	0.285	0.919	0.990	0.768	1.146	1.088	1.058	0.590	1.210	1.296	1.068	1.654	1.295
YCL038C	0.500	0.912	0.366	0.688	0.930	1.144	0.769	0.816	0.869	3.597	0.745	0.746	0.465	0.614	1.357	3.191
YLR431C	2.522	2.190	3.110	1.766	1.069	1.191	1.466	1.361	1.391	1.389	1.443	1.805	0.802	1.568	3.762	2.996
YLR189C	NaN	0.998	0.285	0.450	0.916	0.826	1.092	1.261	0.819	0.787	0.890	0.720	1.055	0.894	1.090	1.234
YJL178C	0.596	1.434	2.112	1.443	1.063	0.876	1.321	0.423	0.791	2.952	0.699	0.411	0.767	2.527	6.880	1.689
YPL166W	0.619	0.835	1.945	0.717	0.698	1.052	0.548	1.026	0.716	0.801	0.767	0.798	0.501	0.945	0.793	0.761
YNR007C	20.781	1.584	14.996	0.837	1.313	0.892	1.891	14.875	0.757	0.359	0.908	1.138	6.472	2.508	5.278	4.976
YPL149W	NaN	0.727	0.935	0.428	0.950	0.983	1.084	1.176	1.099	0.919	0.630	1.387	1.002	0.999	4.173	3.622
YHR171W	0.500	1.891	2.732	NaN	0.822	0.881	1.496	0.856	1.298	0.967	0.818	1.322	2.376	0.265	2.486	3.003
YBL078C	0.931	0.572	0.730	0.591	0.843	0.808	0.875	1.271	0.405	0.537	0.973	0.518	0.430	0.454	0.958	1.993
YDL149W	0.500	1.303	NaN	1.502	1.559	0.945	1.232	0.144	1.139	1.424	1.174	1.176	1.154	0.444	3.243	2.882
YPR026W	0.500	0.835	NaN	1.460	0.905	1.075	0.902	0.460	1.178	1.055	1.024	0.874	0.568	0.565	1.059	1.617
YNR002C	0.500	0.879	NaN	0.000	0.900	1.000	0.818	0.667	0.948	0.419	0.894	0.703	0.880	0.823	0.838	NaN
YDR384C	0.500	0.593	0.780	NaN	0.958	0.885	0.711	0.150	0.875	0.589	1.268	0.877	0.362	0.566	1.273	1.767
YBL099W	1.000	1.326	NaN	1.000	1.319	0.935	2.099	2.882	1.838	NaN	1.809	2.832	3.799	NaN	2.830	3.795
YLR393W	NaN	0.628	1.362	0.000	0.739	0.777	1.479	1.152	1.290	NaN	0.940	1.204	0.742	0.870	1.253	1.222
YNL315C	NaN	0.650	1.670	1.004	0.981	0.728	0.762	0.528	1.054	0.444	1.091	0.907	1.631	NaN	1.655	1.283
YJL180C	1.967	0.991	0.656	5.601	1.417	0.786	0.558	NaN	0.923	0.785	1.506	0.799	3.881	NaN	1.154	1.158
YLR295C	1.758	1.272	0.854	NaN	1.026	0.906	0.671	1.202	1.320	1.030	1.117	1.546	0.818	1.117	1.330	1.803
YPL271W	0.899	0.381	0.756	NaN	0.942	1.111	0.969	0.081	1.072	0.898	1.094	0.996	0.488	0.000	2.445	6.305
YDR377W	0.618	1.834	NaN	NaN	0.910	0.689	2.140	NaN	1.431	1.542	1.038	1.410	0.469	NaN	1.644	2.043
YPR020W	NaN	0.987	2.000	NaN	0.950	0.955	1.023	0.864	1.049	0.408	1.289	1.241	0.581	0.937	1.524	0.000
YBR039W	4.696	0.249	9.454	1.556	1.249	0.708	0.713	NaN	0.923	0.482	2.958	1.130	2.358	NaN	1.038	1.748
YPL078C	1.000	0.894	13.833	0.460	1.075	0.957	0.637	0.838	1.319	1.489	1.174	1.133	2.777	0.867	1.397	1.425
YML116W	NaN	1.221	1.130	0.829	1.122	1.378	1.410	2.854	1.353	1.553	1.462	1.292	0.611	1.240	3.192	3.455
YAL020C	NaN	0.699	0.250	0.665	1.033	1.012	0.840	0.793	1.219	0.411	1.071	0.787	0.656	0.157	0.393	0.709
YNL259C	NaN	1.765	0.201	0.435	0.855	0.965	1.179	1.183	0.962	0.798	1.048	1.066	1.021	2.110	2.636	NaN
YOR079C	NaN	0.435	1.171	0.972	0.897	1.037	0.960	0.907	1.251	0.869	0.967	1.011	0.844	0.737	1.034	NaN
YOR011W	NaN	0.890	0.344	NaN	0.803	0.886	1.036	0.981	1.122	0.608	0.932	0.701	0.730	0.558	1.511	0.404
YMR068W	NaN	1.504	1.617	0.233	1.029	1.322	1.038	0.443	1.244	0.547	1.208	1.038	1.258	1.900	2.733	1.385
YJR001W	0.074	1.053	0.299	0.330	0.853	1.140	0.842	1.148	1.007	0.436	1.026	0.851	0.900	1.056	3.127	4.601
YEL064C	NaN	0.373	NaN	0.810	0.822	0.735	0.598	0.609	0.622	0.494	0.770	0.585	0.344	0.341	4.532	3.788
YKL146W	0.147	0.975	1.882	0.300	0.856	0.893	1.463	0.820	1.077	0.452	0.805	1.213	0.598	1.148	2.832	3.126
YNL101W	0.500	0.609	NaN	0.629	0.958	0.879	0.755	0.392	0.961	0.570	1.074	0.612	0.560	0.512	1.171	2.059
YBL089W	NaN	0.621	0.597	0.933	0.799	1.013	0.543	0.504	0.983	0.474	0.907	0.628	0.422	0.473	0.792	0.310
YER119C	0.113	0.629	0.356	0.474	0.825	0.914	0.655	1.058	0.682	0.768	0.888	0.759	0.863	NaN	1.545	3.079
YIL088C	NaN	0.334	NaN	0.406	0.682	0.730	0.632	0.741	0.652	0.805	0.836	0.468	0.250	0.711	1.043	1.456
YIL140W	NaN	0.672	0.596	4.236	1.647	0.446	0.544	0.494	0.949	0.828	0.641	0.829	0.469	0.487	1.077	0.516
YIL124W	NaN	0.262	NaN	NaN	0.819	0.840	0.383	9.143	0.240	0.608	1.043	0.309	0.317	0.335	0.872	0.817
YLL063C	0.390	1.346	1.770	0.792	1.101	1.313	1.144	0.810	1.131	0.680	1.162	1.856	0.747	0.872	1.531	1.594
YOR113W	NaN	0.686	NaN	NaN	0.952	0.850	0.756	0.466	1.041	0.413	0.926	0.827	0.689	0.653	0.918	0.724
YGR224W	NaN	1.249	2.923	NaN	0.860	1.043	0.867	1.016	1.230	0.342	0.845	1.323	0.962	1.223	1.129	1.292
YFL035C-B	NaN	0.726	NaN	0.223	0.771	1.088	0.640	0.388	1.002	0.465	0.805	0.783	0.666	0.694	1.494	0.956
YHR039C-B	NaN	0.056	NaN	4.610	2.375	0.752	0.661	0.552	1.345	NaN	0.774	0.758	0.091	0.293	3.084	2.119
YHR079C-B	NaN	1.190	NaN	0.248	0.989	1.105	1.801	0.983	1.515	0.991	0.819	1.381	0.763	1.385	1.785	0.387
YIR020W-B	NaN	0.751	2.631	2.670	1.582	0.907	0.833	0.717	1.035	0.463	0.938	1.093	0.584	1.020	1.401	0.488
YML010C-B	NaN	0.556	0.566	0.398	0.953	0.693	1.067	0.824	1.035	0.411	0.951	0.864	0.533	0.954	2.039	2.182
YMR158C-B	NaN	0.944	0.394	0.871	1.017	1.298	0.572	0.693	1.175	0.383	0.998	0.974	0.457	0.893	1.869	1.564
YMR316C-B	NaN	0.851	NaN	0.000	0.856	0.899	0.715	1.000	1.035	0.988	0.815	1.188	0.607	NaN	2.223	3.725
YOR134W	0.000	0.661	NaN	1.577	0.937	0.955	0.889	0.498	0.916	1.146	1.042	0.882	0.674	0.824	0.947	0.766
YBR068C	NaN	0.825	NaN	0.000	0.915	0.726	0.404	0.517	0.547	NaN	1.052	0.948	1.847	4.084	1.301	1.844
YDR046C	NaN	1.567	NaN	1.123	0.978	1.034	1.510	0.424	1.236	1.261	0.866	1.104	0.739	1.743	0.412	1.345
YIL015W	NaN	3.676	NaN	3.249	1.637	1.312	2.382	2.177	3.025	1.225	1.105	1.215	0.754	1.567	2.573	1.629
YKR099W	NaN	0.950	0.494	1.353	1.276	1.231	0.443	0.521	0.989	0.374	0.931	1.307	1.009	0.968	2.372	2.682
YJR148W	NaN	0.463	1.738	0.000	0.911	0.888	0.609	0.574	0.782	0.872	0.882	0.785	0.487	0.496	0.911	0.908
YJL020C	NaN	0.796	NaN	0.768	0.985	0.859	0.661	0.153	0.784	0.882	1.133	0.602	0.493	0.728	1.447	1.558
YMR237W	NaN	1.492	0.554	0.409	0.985	1.004	0.548	1.010	0.269	0.483	1.326	0.734	1.293	1.066	1.256	1.117
YKR027W	0.258	0.061	0.818	0.271	0.508	0.925	0.958	NaN	1.366	1.272	0.764	1.026	0.236	0.755	3.511	4.148
YJL095W	NaN	0.832	NaN	1.028	1.216	1.134	0.805	NaN	1.018	0.693	1.230	0.808	1.573	NaN	3.627	NaN
YER167W	4.573	0.402	0.427	0.428	0.914	1.001	0.479	0.596	0.794	0.834	0.803	0.626	1.613	0.898	3.681	1.737
YLR399C	NaN	0.794	NaN	1.068	0.854	1.101	0.894	1.590	0.842	0.490	1.006	0.914	1.074	0.000	0.950	0.000
YAL060W	NaN	1.414	1.604	0.859	1.114	1.111	1.015	0.891	1.217	0.494	1.006	1.084	0.726	0.621	0.918	0.819
YBR200W	NaN	1.052	0.403	0.929	0.909	0.780	0.704	0.455	0.783	1.006	0.896	0.714	1.550	2.578	0.148	4.259
YPL115C	NaN	1.172	0.820	0.757	0.915	1.087	1.233	1.641	0.777	1.103	0.978	1.184	0.554	0.866	2.555	2.544
YPL161C	11.259	1.115	1.467	0.089	1.320	0.874	0.565	0.283	0.838	1.272	1.023	0.495	4.615	2.158	0.839	0.339
YJR053W	0.743	2.301	0.311	1.588	1.187	1.387	1.527	0.387	1.550	2.908	2.250	1.530	1.082	1.482	1.540	0.960
YOR198C	NaN	0.862	5.980	NaN	1.250	1.715	1.108	1.123	1.256	NaN	1.061	0.989	1.332	0.891	0.831	0.510
YGR282C	NaN	0.876	NaN	0.174	0.817	0.755	0.634	0.626	1.167	0.530	0.863	1.189	0.515	0.819	0.860	0.413
YCL029C	NaN	0.702	1.130	NaN	1.055	0.985	0.686	0.526	1.000	0.426	1.185	0.788	0.959	0.677	1.044	1.298
YER016W	NaN	1.685	NaN	NaN	1.527	1.370	0.874	1.590	1.279	1.015	1.849	0.671	3.545	1.435	0.789	0.908
YGR286C	NaN	0.609	2.933	NaN	0.710	0.694	0.483	0.576	0.906	0.419	0.930	0.855	0.448	0.735	1.049	0.406
YNR058W	NaN	1.077	0.575	0.403	0.704	1.077	0.741	2.809	0.852	0.393	1.173	1.216	0.672	1.144	3.031	0.976
