ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YKR045C	-0.906	0.081	-2.228	-1.863	-0.105	-1.311	-2.137	-0.296	-0.244	0.083	-0.665	-0.965	-1.791	-0.378	-0.685	-0.890	-1.007	-0.073	-0.103	-0.006	-0.002	-2.474
YKR046C	-0.642	-1.087	-0.459	-0.094	0.022	0.010	-0.006	-0.154	0.139	0.032	-0.372	-0.081	-1.400	-0.082	-0.223	0.028	0.121	-0.010	-0.282	0.080	0.194	0.068
YKR047W	-0.178	-0.946	-0.099	0.736	-3.802	-0.026	-1.699	-0.262	-0.055	-1.032	-0.510	0.028	0.805	-0.005	0.163	0.082	-0.022	0.003	0.039	-0.140	0.002	-0.004
YKR048C	-1.252	-0.973	-0.457	0.459	-1.413	-0.093	-1.592	-0.015	-0.537	-0.234	-2.411	0.056	-0.124	0.040	0.103	-0.008	0.016	0.351	0.042	-0.234	-1.045	0.013
YKR049C	0.200	-0.096	-0.325	0.060	-0.058	0.096	0.194	0.017	0.103	0.308	-0.119	-0.159	-0.439	-0.131	-0.674	-0.119	-0.009	-0.011	0.003	-0.396	0.053	0.204
YKR050W	0.059	0.026	0.012	0.025	0.170	1.566	0.613	0.086	0.195	-0.051	-0.059	0.632	-0.327	-1.604	-0.038	0.010	-0.049	1.417	0.033	0.065	-0.008	0.002
YKR051W	-0.806	0.046	-0.213	-0.283	0.005	-0.318	-1.017	-0.771	-0.009	-0.266	-0.369	0.062	-0.831	0.184	0.192	-1.465	-0.581	-0.727	-0.122	0.313	-0.076	0.005
YKR052C	0.575	-0.182	0.144	-0.332	0.036	0.113	0.617	-0.453	-0.141	-0.206	0.144	-0.355	-1.881	-1.817	-1.547	-0.064	-0.704	-0.411	-0.292	-0.087	-1.469	-0.203
YKR053C	0.327	-0.489	0.021	-1.342	-0.276	-0.155	-0.051	-1.068	-0.060	-0.737	0.104	0.009	0.038	0.083	0.348	0.879	-0.000	0.733	0.251	-0.022	0.090	0.038
YKR054C	0.358	0.075	0.111	0.073	-0.021	-0.274	-0.171	1.101	-0.048	0.020	-0.098	-0.741	-1.112	2.647	-0.133	-0.111	0.004	-0.005	0.051	0.075	-0.091	-0.424
YKR055W	-0.066	-0.294	-0.631	-0.043	-0.055	0.157	0.691	-0.094	0.118	0.314	0.132	-0.735	-0.421	-0.052	0.026	0.463	0.607	0.003	-0.031	-0.029	-0.715	-0.013
YKR056W	0.372	-1.114	-0.232	-0.046	0.821	0.269	0.032	0.153	0.018	0.023	-0.010	-1.292	-0.008	-0.033	-0.169	-1.427	-1.040	-1.750	0.000	-2.191	-0.210	-1.458
YKR057W	0.656	0.273	0.904	1.881	0.059	0.231	-0.076	0.233	1.205	0.126	0.105	0.547	0.097	-0.391	2.403	-0.069	0.332	1.619	-0.076	0.770	0.310	0.032
YKR058W	0.215	-1.920	0.099	0.050	-0.000	0.666	-0.401	0.038	-0.059	-0.071	-0.452	0.528	0.025	-1.403	0.465	-0.107	0.057	0.018	-0.696	0.163	-0.016	0.440
YKR059W	0.698	0.035	2.643	0.015	2.130	2.171	2.857	0.480	1.248	-0.305	0.004	1.416	0.058	1.679	1.659	0.103	1.688	0.244	-0.117	0.080	0.215	1.331
YKR060W	0.155	0.895	-0.055	-1.562	1.064	1.605	-0.281	0.130	0.289	0.020	-0.005	1.827	-1.438	NaN	0.372	1.766	1.113	0.511	2.422	0.054	-0.097	0.690
YKR061W	-0.001	0.059	-0.158	-0.053	-0.094	-0.020	-0.049	0.551	-0.094	-0.004	-0.034	-0.501	-0.579	-0.166	-0.299	-0.901	-1.060	-0.286	0.031	-0.361	-0.963	-0.893
YKR062W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.156	-0.029	0.454	-0.003	-0.015	0.009	0.149	0.078	0.541	0.007	-0.004
YKR063C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.029	0.005	0.971	0.375	-0.029	0.046	1.158	0.053	1.108	0.165	-0.019
YKR064W	-0.671	-0.277	-0.065	0.053	-1.037	-0.099	-0.217	0.659	-0.019	-0.316	-0.627	0.229	0.052	0.012	0.088	0.979	0.104	0.384	0.024	0.001	0.035	0.178
YKR065C	-0.996	0.471	0.206	0.870	0.105	0.217	1.293	-0.020	0.236	0.267	-0.673	0.055	-0.745	-0.104	-0.208	0.350	0.368	0.175	0.845	-0.001	0.080	-0.002
YKR066C	-0.022	0.036	0.451	0.016	2.026	-0.001	0.001	0.240	-0.495	-1.860	0.086	-0.217	-1.969	0.009	0.007	-1.196	-0.496	-1.122	0.081	0.008	-0.736	-0.032
YKR067W	0.060	-0.162	-0.089	-1.006	0.192	0.057	-0.108	0.193	0.120	0.174	0.000	-2.990	-0.013	-1.308	0.059	-1.406	-1.496	-0.281	-2.031	-0.768	-2.051	-1.036
YKR068C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.564	-3.285	-0.011	0.025	-0.577	0.670	-1.053	-1.266	1.112	0.601	0.522
YKR069W	-0.002	0.230	0.383	0.032	-1.570	0.030	0.062	0.420	0.137	-0.381	-0.015	-0.596	-0.434	0.352	-1.041	0.024	-0.002	-0.045	-0.515	-0.268	0.034	0.098
YKR070W	0.269	0.024	0.486	0.925	-0.752	0.075	0.036	0.140	0.012	-0.130	-0.007	0.012	0.045	0.076	0.059	0.635	0.104	1.042	-0.014	0.023	0.151	0.297
YKR071C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.077	0.071	0.254	0.054	-0.011	-0.072	-0.006	0.046	0.161	0.017	-0.072
YKR072C	0.063	0.258	0.057	-1.527	-0.117	-2.608	-0.090	-2.956	-1.993	0.046	0.682	-0.661	-0.024	-0.119	-1.672	-0.642	-2.430	-3.605	-1.796	-0.960	-0.322	-0.367
YKR073C	0.734	-0.055	-0.402	-0.081	-0.077	-0.525	-2.322	0.096	0.580	0.069	-0.042	0.064	-0.854	-0.806	-1.291	-0.446	-0.460	-1.031	-0.052	0.050	0.068	0.100
YKR074W	0.978	-0.003	1.252	1.517	6.438	3.899	5.962	4.445	1.284	0.650	3.036	-1.048	-0.140	0.082	0.021	0.066	0.008	-0.766	0.822	-0.365	-0.935	-0.596
YKR075C	0.170	-0.330	0.149	0.587	-0.272	0.012	-0.009	-1.470	0.988	-1.225	0.022	0.036	-0.342	-0.011	-0.347	0.253	0.555	0.245	-0.087	-0.157	0.083	0.641
YKR075W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKR076W	0.021	1.683	0.069	-0.761	-0.006	-0.214	0.017	-0.504	-0.023	-0.028	1.475	-0.752	-0.226	-0.042	-0.267	-0.015	-0.509	-0.237	-0.245	0.011	-0.025	-0.557
YKR077W	1.312	0.442	-1.022	0.736	1.488	0.013	0.106	0.395	0.008	-0.292	0.459	0.928	-0.046	-0.394	0.562	-0.003	-0.120	0.594	-0.922	0.008	-0.042	0.048
YKR078W	-0.654	0.815	-1.278	-0.493	-0.004	-0.056	-1.079	0.146	-0.205	0.089	0.212	-4.703	-0.237	-0.034	-2.162	-3.176	-1.567	-0.716	-0.312	-2.141	-3.091	-3.128
YKR079C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.032	-1.705	-0.202	0.018	-1.077	-0.412	0.172	0.021	0.004	0.412	-0.701
YKR080W	0.028	-0.021	0.566	0.003	-0.293	0.310	-0.208	-0.080	0.048	-0.530	-0.231	0.031	0.038	0.265	-0.116	0.500	-0.086	-0.030	-0.132	-0.109	-1.176	-0.178
YKR081C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.275	-0.005	-0.272	0.239	-1.393	-0.052	-1.057	0.093	-0.065	-1.007	-0.057
YKR082W	NaN	NaN	NaN	NaN	-0.072	0.382	NaN	-0.045	-0.322	-0.695	NaN	0.017	-0.053	0.112	-0.024	-1.489	-0.013	-0.297	-0.172	-1.106	-1.055	-0.027
YKR083C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.064	0.058	-0.719	0.130	-0.099	0.863	0.021	0.769	0.070	0.007	-0.024
YKR084C	-4.020	-1.073	-3.549	-5.562	-1.128	-2.616	-0.190	-1.265	-0.067	-3.769	-2.944	-1.425	0.010	0.009	0.116	0.003	-1.085	0.017	-0.841	-0.047	0.150	-0.711
YKR085C	4.472	3.158	3.719	2.738	2.720	5.134	4.990	1.426	1.186	0.724	5.727	-0.073	-0.094	0.095	-0.398	-2.386	-0.081	-0.004	-0.007	-0.423	-0.082	0.089
YKR086W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.141	0.057	0.455	-0.022	-0.042	0.005	0.015	-0.310	0.281	-0.043	1.365
YKR087C	-0.021	0.001	0.025	0.002	-0.070	-0.041	-0.038	-0.058	0.001	-0.570	0.013	-0.105	0.289	0.089	0.408	0.346	-0.016	-0.225	0.161	-0.134	-0.172	0.054
YKR088C	-0.047	-0.189	0.326	0.231	-0.034	-0.023	-0.437	1.578	-0.466	-0.842	-0.098	-0.792	-0.062	0.311	0.569	0.002	-0.670	-0.005	-0.837	-0.241	-0.493	-0.075
YKR089C	-0.001	-0.068	0.005	0.139	-0.077	0.022	0.000	0.194	0.176	-0.210	0.018	-0.043	-0.018	1.396	0.130	1.836	0.591	0.005	1.092	0.221	0.099	0.144
YKR090W	0.037	-0.150	-0.407	0.335	-0.121	0.475	-0.029	0.018	0.068	0.036	-0.324	-1.290	-1.160	0.019	-0.053	-0.008	-1.771	-0.007	-0.148	0.012	0.263	-0.320
YKR091W	-0.258	-0.270	-0.038	-0.098	-0.006	-0.117	0.059	-0.328	-0.627	-0.573	-0.000	-2.651	-2.381	-0.447	-0.050	-0.774	-0.279	-2.407	-2.417	-3.134	-0.005	-3.192
YKR092C	0.562	0.838	4.494	2.892	0.390	-0.036	1.146	-1.374	0.320	0.423	0.767	-2.610	-2.746	-0.549	-2.048	-1.314	-0.135	-2.053	0.040	-2.692	-0.123	-2.685
YKR093W	-10.630	-10.694	-12.003	-13.236	-13.802	-20.619	-13.323	-9.633	-7.638	-8.600	-10.878	-14.946	-7.519	-5.430	-12.800	-22.773	-27.017	-26.636	-17.296	-22.797	-22.197	-17.761
YKR094C	0.177	0.081	-0.245	1.510	-0.037	0.868	1.258	0.002	0.017	0.007	0.416	-3.489	-0.095	-0.130	-3.364	-4.305	-2.994	-3.951	-0.598	-0.664	-0.748	-4.794
YKR095W	-0.071	-1.427	-0.622	-0.023	-0.966	-0.793	-0.049	-0.124	-0.363	-0.031	-0.559	-0.512	0.298	-0.230	-0.454	-0.019	-0.082	-1.523	0.019	-0.774	-0.002	0.012
YKR095W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKR096W	1.183	0.138	1.392	0.773	0.291	0.866	0.455	0.365	0.346	0.223	0.994	0.880	1.566	0.991	0.642	0.792	2.915	0.951	0.514	0.956	2.655	1.451
YKR097W	1.366	0.386	0.068	0.077	-0.337	-0.745	1.466	0.082	-0.900	-0.605	0.366	0.052	0.519	0.003	0.885	0.002	0.492	1.121	0.018	-0.093	-0.370	0.138
YKR098C	-0.009	0.091	0.155	-0.822	0.073	-0.340	-0.462	-0.151	-0.540	-0.010	-0.021	0.058	-0.724	-1.711	0.035	0.501	-0.346	-0.002	-0.480	-0.035	-0.088	0.008
YKR099W	0.190	-0.142	-0.536	2.066	0.290	-0.010	0.147	0.066	1.208	-1.003	0.281	-5.305	-3.191	-0.451	-4.090	-1.932	-3.297	-1.929	-0.104	-2.329	-0.782	-4.059
YKR100C	0.014	-0.042	-1.446	-0.187	-0.099	-0.055	-0.284	-0.610	0.087	-0.560	-0.118	-0.294	-0.022	0.009	-0.751	0.000	-0.183	-0.071	0.496	0.047	0.204	0.162
YKR101W	0.367	-0.004	0.026	0.163	0.105	-0.043	0.950	-1.951	0.209	0.173	-0.029	0.144	1.056	-0.760	-0.096	-0.006	0.049	1.049	-0.246	0.671	0.269	1.425
YKR102W	0.173	0.003	-0.020	0.741	-0.116	0.025	0.081	0.738	-0.063	-0.650	-0.232	0.039	-0.134	-0.115	-0.013	-0.705	-0.095	0.088	-0.053	-0.030	0.023	0.225
YKR103W	-0.000	0.373	0.084	-0.021	0.163	-1.396	-0.024	0.002	-0.937	0.011	-0.049	0.565	0.462	1.549	0.260	0.758	0.220	0.845	0.193	-0.037	-0.023	0.327
YKR104W	0.036	-0.030	0.401	0.017	-0.291	-0.069	0.140	0.677	0.001	-0.099	-0.840	-0.115	-0.006	-0.240	0.047	-0.832	-0.132	0.335	0.249	-0.431	-0.592	-0.066
YKR105C	-0.598	-0.018	0.037	-0.119	-0.017	0.699	-0.066	1.874	-0.279	-0.140	-0.782	0.110	0.014	0.443	-0.188	2.645	2.773	0.294	1.939	0.005	1.581	1.109
YKR106W	-0.392	0.019	0.231	0.597	-0.039	0.422	0.170	-0.059	-0.031	0.956	-0.006	-0.008	1.307	0.998	-0.721	0.281	0.035	-0.709	-0.064	0.036	-0.159	0.342
YLL001W	0.205	-0.031	0.476	0.010	-0.039	-1.231	0.179	-1.131	-0.071	-0.011	0.153	-0.433	-0.007	0.134	-0.280	-0.010	-1.016	-0.871	1.197	0.101	-0.004	0.084
YLL002W	1.445	0.031	NaN	2.024	3.731	0.624	-0.005	-1.100	0.100	-0.677	1.570	-0.016	-0.132	0.359	0.023	-0.009	-0.205	-0.008	-0.092	-0.237	0.028	0.040
YLL003W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.075	-1.140	-0.001	0.103	-0.624	-0.024	-0.813	-0.478	0.271	-0.315	-0.211
YLL004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.306	-0.094	0.081	-1.035	-1.237	-0.562	-1.021	-0.236	-0.068	0.024	-0.978
YLL005C	0.184	0.025	0.019	-0.295	0.275	-0.737	-0.889	0.079	-0.264	-0.522	0.325	0.543	0.080	0.252	0.297	0.031	0.142	-0.242	-0.281	-0.024	0.013	-0.002
YLL006W	3.674	5.575	1.244	3.174	6.208	3.846	8.054	0.150	0.451	2.010	6.568	-0.070	0.210	-0.109	-0.238	-0.003	0.073	-0.167	0.093	0.242	-0.068	0.332
YLL006W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLL007C	0.070	-0.396	-0.434	1.619	0.191	-0.021	-0.038	0.694	-1.273	0.049	-0.039	-0.031	-0.203	-0.017	0.161	0.026	-0.053	0.005	-0.068	0.546	0.134	0.258
YLL008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.034	0.137	0.013	0.004	-0.460	-1.123	-1.428	-0.172	-0.042	0.128	-0.381
YLL009C	-5.922	0.245	1.243	2.893	0.037	0.169	2.930	0.253	0.157	3.266	-0.259	6.051	5.049	1.984	5.452	7.150	7.249	7.899	1.709	5.679	6.129	6.603
YLL010C	0.649	-0.124	-0.784	0.462	-0.168	-0.753	0.589	0.060	-0.111	-0.112	-0.002	0.113	0.225	0.045	0.062	-0.353	-0.207	-0.118	-0.531	-0.360	-1.986	-0.121
YLL011W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.253	0.008	0.093	0.375	-0.005	-0.314	-1.501	-0.024	-0.498	-0.267	0.056
YLL012W	0.008	0.248	0.132	1.182	0.023	0.036	0.140	0.089	-0.438	-0.003	-0.003	-0.199	1.994	0.151	0.415	-0.096	-0.143	-0.273	0.023	-0.148	-0.003	-0.692
YLL013C	1.257	2.181	0.003	1.655	0.000	-0.003	-0.599	0.645	-0.337	1.452	1.218	-1.456	-0.067	-0.008	-0.455	-1.384	-2.004	-1.647	-0.486	-2.168	-2.118	-1.465
YLL014W	0.070	0.911	-0.002	-0.008	0.003	-0.013	-0.001	0.471	-0.021	0.076	-0.243	0.471	0.336	0.902	1.507	1.053	0.889	0.208	0.327	0.088	0.038	0.508
YLL015W	0.234	0.364	1.245	1.155	0.091	0.228	0.741	1.517	-0.911	0.584	0.509	-0.017	-0.073	0.055	-0.547	0.022	0.047	-0.456	0.010	-0.066	-0.002	0.269
YLL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.045	0.505	0.212	-0.046	0.398	1.979	1.057	1.532	0.011	0.995	1.711
YLL018C-A	-0.018	0.100	NaN	-0.056	-1.895	0.209	0.113	-0.091	0.000	1.747	0.423	0.000	0.050	0.121	0.650	0.027	0.647	0.316	0.049	-0.008	0.087	0.174
YLL019C	-0.013	-0.168	-0.514	-0.190	0.013	-0.041	0.233	-0.046	-0.017	0.004	0.505	0.349	-0.134	0.062	0.096	0.197	1.431	0.014	0.095	0.076	0.767	0.833
YLL019W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLL020C	0.005	-0.047	-0.053	-0.461	-0.017	-0.037	0.049	-0.023	1.328	0.084	0.592	0.786	0.315	0.065	0.027	0.009	-0.322	0.275	-0.031	0.053	0.250	-0.016
YLL021W	-0.199	-0.054	-0.267	-0.121	0.143	-1.863	-0.314	-0.367	0.023	-0.045	0.395	-0.214	0.305	0.501	0.038	-0.008	-0.502	-1.098	-0.018	-0.235	0.082	-0.312
YLL022C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLL023C	-1.379	0.625	0.397	-0.026	-0.138	-0.401	-2.482	-0.877	0.019	-0.596	-0.465	-0.324	-2.585	-0.138	-1.905	-1.165	-0.067	-0.791	-0.087	-0.247	-1.011	-1.629
YLL024C	-0.511	-0.011	-1.791	-0.849	-0.110	-2.013	-2.206	-1.678	-0.011	0.229	0.099	-1.157	-0.583	-0.260	-1.760	-1.187	-2.111	-2.051	-0.033	-0.457	-0.096	-1.039
YLL025W	0.766	0.064	-0.177	-0.012	0.521	0.073	-0.035	0.098	-0.137	0.005	-0.029	-0.146	0.250	-0.230	0.029	0.011	-0.133	-0.766	0.034	-0.819	-0.735	-0.297
YLL026W	0.146	-0.027	-0.040	0.495	-0.015	0.013	-0.000	0.400	-0.189	0.052	0.031	0.043	-0.022	0.417	0.012	0.050	0.048	0.028	0.134	0.006	0.015	0.187
YLL027W	NaN	NaN	NaN	4.688	NaN	NaN	NaN	NaN	-6.075	-0.136	NaN	-0.026	1.241	0.913	-0.005	-0.840	-1.719	0.035	-0.109	-0.972	-2.213	-0.896
YLL028W	-0.279	0.396	0.217	0.615	0.318	0.028	-0.004	-0.923	0.001	0.669	0.225	-0.363	0.069	-0.128	-0.051	0.105	0.567	1.180	0.260	-0.467	0.106	-0.097
YLL029W	-0.088	1.044	-0.006	-0.001	-0.852	-0.803	-0.183	-0.338	0.301	0.494	0.001	0.488	-0.038	0.180	-0.157	-1.146	-0.012	-0.176	-0.006	0.435	-0.013	0.005
YLL030C	-0.173	0.211	0.549	0.138	0.053	0.018	-0.112	1.866	0.038	0.070	0.009	0.089	-0.701	1.267	-0.437	-0.043	-0.130	-0.075	0.172	0.080	-0.027	0.013
YLL031C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.064	-0.001	-0.259	-0.762	-1.954	-0.025	-1.302	-1.021	-0.939	-0.048	-0.651
YLL032C	-0.027	0.416	0.024	-0.011	0.002	-1.055	-0.562	0.012	-1.239	-0.329	0.183	-0.102	-1.111	0.168	0.005	-0.012	-0.218	-1.737	-0.284	0.003	-0.009	-0.444
YLL033W	1.718	1.709	4.504	1.501	1.652	0.540	6.739	0.186	0.687	0.194	3.588	-1.765	-0.051	0.280	-0.541	0.026	-0.004	-2.748	-0.039	-1.300	-0.003	-0.406
YLL034C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.148	1.197	0.437	0.186	0.015	0.032	0.189	-0.009	0.026	-1.228	0.501
YLL035W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.746	-0.326	0.017	0.005	-0.101	-0.113	-2.229	-0.128	-0.470	-1.503	-0.278
YLL036C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.870	-0.009	0.831	-0.195	-0.363	-0.020	-1.374	-0.274	-0.013	-0.781	-1.421
YLL037W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.122	-0.246	-0.005	-1.233	-0.810	-1.682	-0.289	-0.113	-0.876	-0.856	-1.206
YLL038C	-0.006	0.023	0.172	-0.921	-0.507	-0.563	-1.222	-0.079	-2.163	-0.002	-0.211	-1.089	0.018	0.184	-0.963	-0.988	0.156	-0.536	0.520	0.128	0.319	-0.304
YLL039C	-0.007	1.507	1.567	-0.093	-1.138	-0.043	-1.381	-0.071	-1.003	-0.330	-0.214	-0.729	-1.215	0.063	-0.690	-1.836	-0.653	-1.365	-0.195	-0.019	-0.052	-0.318
YLL040C	0.023	0.001	-0.002	0.664	-0.013	0.016	-0.359	-0.227	-0.071	-0.067	-1.297	1.308	0.694	0.070	0.295	1.126	0.050	0.980	-0.029	0.133	0.011	0.943
YLL041C	0.242	0.693	0.011	-0.397	-0.128	-0.721	1.401	-0.054	-0.020	0.017	0.485	0.017	0.004	0.111	0.006	-0.011	-0.073	0.965	0.196	-0.216	-0.622	-0.273
YLL042C	0.768	0.083	-0.043	0.085	-0.012	-0.002	-0.046	0.103	-0.010	-0.042	-0.094	0.279	0.606	0.191	0.074	0.764	-0.008	0.131	0.572	-0.063	-0.219	0.686
YLL043W	0.460	0.011	0.293	0.759	0.182	0.114	0.269	1.679	0.024	0.361	1.291	-0.016	0.175	-0.075	0.001	0.009	-0.099	0.065	-0.023	-0.098	-0.869	0.005
YLL044W	0.521	2.602	1.152	0.291	-0.741	-2.127	0.000	-2.779	0.812	-0.172	0.284	-0.316	0.077	0.002	-0.122	0.012	-0.165	0.351	-0.626	-0.270	-2.251	-0.064
YLL045C	1.132	4.505	6.311	3.097	0.351	-0.015	0.263	-2.178	2.435	1.048	0.887	0.019	0.569	0.034	0.122	0.067	0.070	-0.249	-0.306	0.205	0.060	-0.015
YLL046C	1.456	0.207	0.129	0.029	-0.034	0.003	0.091	0.125	-0.429	-0.741	0.071	1.374	-0.366	0.103	-0.037	0.953	1.195	0.529	-0.011	0.078	-0.396	0.408
YLL047W	2.067	-0.194	0.035	0.044	0.239	0.428	0.466	0.024	-1.020	0.014	-0.007	-0.011	-0.029	0.133	0.031	1.362	-0.031	0.169	0.289	-0.076	-0.124	0.028
YLL048C	3.144	0.253	0.667	1.529	1.449	0.801	1.748	0.272	-0.125	0.870	1.602	1.802	0.183	0.711	1.255	0.316	0.989	1.660	0.093	0.425	-0.038	1.024
YLL049W	0.717	-0.873	-0.071	0.002	-0.276	0.053	-0.345	-0.407	-0.313	0.022	-0.008	0.122	0.181	0.095	-0.011	0.042	0.106	1.036	0.252	-0.057	0.005	-0.015
YLL050C	NaN	NaN	NaN	NaN	0.041	1.595	-0.033	0.981	-0.394	0.107	NaN	-0.339	0.023	0.142	0.043	-0.015	-0.044	0.022	0.081	0.055	0.698	-1.165
YLL051C	-0.009	0.071	1.146	-0.206	-0.035	-0.385	-1.622	-0.189	0.013	0.389	-0.015	0.116	-0.137	0.951	-1.566	-0.805	0.066	-0.249	-0.042	0.094	0.053	-0.017
YLL052C	0.048	0.086	0.137	0.032	0.381	-0.004	-0.003	-0.082	0.019	0.021	0.068	0.004	0.676	-0.943	-1.630	0.422	-0.189	-0.489	-0.088	-2.284	-0.094	-0.410
YLL053C	0.052	0.063	1.340	-0.068	-0.062	0.902	0.025	-0.112	-0.751	-0.952	0.505	-1.301	0.095	0.220	-0.028	-1.240	-0.100	-0.916	-0.050	-0.198	-0.065	-0.600
YLL054C	0.035	-0.011	0.382	0.151	0.019	-0.026	-0.027	0.125	-0.054	-0.600	0.015	0.020	0.464	-0.805	0.808	0.001	-0.062	0.090	0.048	-0.210	-0.038	0.114
YLL055W	-0.080	-0.001	0.314	-0.590	1.101	-0.112	0.695	-0.689	-0.166	-0.036	0.188	-0.599	-0.013	0.236	-0.173	0.031	0.044	-0.183	1.171	0.014	-0.045	0.010
YLL056C	0.182	0.298	0.054	0.253	-0.068	0.066	-0.041	-0.046	-0.375	1.256	0.031	-0.344	0.090	-0.045	-0.047	-0.664	0.173	-0.605	0.159	0.077	-0.310	0.164
YLL057C	0.314	-0.072	0.035	1.041	-0.033	-0.003	0.143	-0.003	-0.053	1.089	-0.013	0.852	0.329	-0.329	0.007	0.042	1.148	1.137	0.547	0.072	0.219	0.116
YLL058W	0.017	-0.080	0.410	-0.027	0.193	-0.047	0.002	-0.727	-0.094	-0.664	0.016	0.124	1.175	-0.074	-0.678	-1.093	-0.027	-0.110	0.414	-0.252	-1.031	-0.077
YLL059C	0.096	-0.045	0.965	0.025	-0.913	-0.117	0.035	-1.263	0.008	0.046	0.204	1.062	-0.083	0.430	0.007	-0.204	-0.031	0.013	-1.162	-0.044	-0.193	1.343
