orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YDR249C	7.101091130796245
YDR250C	6.981095393917105
YDR251W	7.0691552660560095
YDR252W	7.02359029926094
YDR253C	7.065772337613975
YDR254W	6.998378985034975
YDR255C	6.926616532684675
YDR256C	6.991691660186801
YDR257C	7.1076616206210605
YDR258C	7.054359282776625
YDR259C	7.02307552008323
YDR260C	7.067400111906985
YDR261C	7.080392871313499
YDR262W	7.07297018387887
YDR263C	7.073139049483849
YDR265W	6.891771225173009
YDR266C	7.0607450336559054
YDR269C	7.046260967106296
YDR270W	7.020181071811055
YDR271C	7.083662806889276
YDR272W	7.030071025693275
YDR273W	6.965148723643835
YDR274C	7.085233709338604
YDR275W	7.0542613630243505
YDR276C	6.988783242026765
YDR277C	7.04262197103228
YDR278C	7.080371516758985
YDR279W	7.01343535345441
YDR281C	7.037477116840975
YDR282C	6.900881907983025
YDR284C	7.013166993188015
YDR285W	7.023908756450365
YDR286C	7.0663198613933105
YDR287W	7.025921311508094
YDR289C	7.09864566232115
YDR290W	7.014048277516254
YDR291W	7.056320721782615
YDR293C	6.941971747861965
YDR294C	7.050176063312399
YDR297W	7.01254815553105
YDR304C	6.94846597219188
YDR305C	6.91505224131817
YDR306C	6.95595093669807
YDR307W	6.993206708332905
YDR309C	6.9585894184028
YDR310C	7.051097803843635
YDR312W	7.034338849185125
YDR313C	7.0272540556884895
YDR314C	7.031803264906085
YDR315C	6.957425212106105
YDR316W	7.00061494016307
YDR317W	6.93472891741969
YDR318W	7.003553798723875
YDR319C	6.920871868776915
YDR320C	7.03322247620343
YDR321W	7.0750638383389255
YDR326C	6.9961681344229945
YDR329C	7.0371754475193
YDR330W	7.037201414724625
YDR332W	7.067644853778905
YDR333C	7.064332837342425
YDR334W	7.04579667620615
YDR335W	7.05254059203076
YDR336W	6.987561698778735
YDR338C	6.979290070689499
YDR340W	7.02133204659876
YDR344C	7.01476416157843
YDR345C	7.09210958104177
YDR346C	7.0716631683764
YDR348C	7.034557746390336
YDR349C	6.957021011079931
YDR351W	7.0720005737768705
YDR352W	7.06921251037937
YDR354W	7.0731289446448855
YDR357C	6.94238629390882
YDR358W	6.9683107411336405
YDR359C	6.904443393440506
YDR360W	6.984964302480305
YDR363W	7.04598564568224
YDR363W-A	6.93996516508588
YDR368W	7.169994025884265
YDR369C	7.050075633629945
YDR370C	7.127796792126535
YDR371W	7.0825322668761
YDR372C	6.946892731146695
YDR374C	7.02990913354018
YDR375C	7.068941990632405
YDR378C	6.939942641921196
YDR379W	7.053193244543735
YDR380W	7.0529103507961555
YDR382W	7.014940639154069
YDR383C	6.98278053116722
YDR384C	7.1112686951622255
YDR385W	7.094429031401895
YDR386W	7.022248845851035
YDR387C	7.079534595915785
YDR388W	6.994745936413169
YDR389W	7.05337883751341
YDR391C	7.096269023135635
YDR392W	7.153769265327989
YDR393W	7.032870826520335
YDR395W	6.99356300265427
YDR399W	7.075730536947084
YDR400W	7.10278649386619
YDR401W	7.1054693679398095
YDR402C	7.08548989119694
YDR403W	7.086851913105065
YDR406W	6.945601557491595
YDR408C	7.08122674648095
YDR409W	7.037151780430755
YDR410C	39.126558544620096
YDR411C	7.105286849257915
YDR414C	7.0787603311594705
YDR415C	6.98401471052572
YDR419W	7.099907018610015
YDR420W	7.0625990401836045
YDR421W	7.121016173022484
YDR422C	7.057323758162395
YDR423C	7.013437975626665
YDR424C	7.01429383153158
YDR425W	7.067817464257605
YDR426C	7.02937507676395
YDR428C	7.056079200537005
YDR430C	7.057725401809835
YDR431W	7.078029080965745
YDR435C	6.9848505921946344
YDR436W	7.053215991800265
YDR438W	6.962846371190175
YDR439W	7.01248878324309
YDR440W	6.99608114101002
YDR441C	7.05720957557538
YDR444W	6.99621730092597
YDR445C	7.05085122264306
YDR446W	7.084916618786295
YDR447C	7.059235783101865
YDR451C	7.052033320641986
YDR452W	7.0522212873371455
YDR453C	7.08070125417488
YDR455C	6.899433047101795
YDR458C	7.0576763490680445
YDR459C	7.0298165559723405
YDR461W	7.001236123903075
YDR463W	6.94045209727453
YDR465C	6.981905579849685
YDR466W	6.97905321129224
YDR467C	6.9617838664159795
YDR469W	6.909908660372415
YDR471W	6.99378600567744
YDR475C	6.972426379404093
YDR476C	6.981028953301696
YDR477W	7.03798560248359
YDR479C	7.0011771055546905
YDR480W	7.018688410710445
YDR481C	6.9343885342303455
YDR482C	7.03868206391554
YDR483W	6.996456918621584
