orf	hap a | growth (colony size) | sirolimus [10 nM] | quantitative | discrete | quantitative	hap a | growth (colony size) | sirolimus [30 nM] | quantitative | discrete | quantitative
YBR260C	0.06971237418850319	-0.08498853560539991
YBR261C	0.5275465737468462	-0.07530280708461114
YBR262C	0.38412260119544983	-0.08175949958971793
YBR263W	-0.01607647362893852	-0.0842217562882628
YBR264C	0.38366061228275905	-0.08828478691772156
YBR265W	0.13729957598967873	-0.09044168660849704
YBR266C	0.8417795317924394	-0.05525012365141323
YBR267W	0.8037835764001539	-0.07167999323641477
YBR268W	1.1495852806251168	-0.0813484810216314
YBR269C	0.9264410073965348	-0.08756487639896432
YBR270C	0.42404292805645644	-0.07702635953884303
YBR271W	0.4563677439430897	-0.07549896295860113
YBR272C	1.0219291516584215	-0.07954762842490531
YBR273C	0.07401321654345054	-0.07258761948437031
YBR274W	0.3545837299101188	-0.07695612523638715
YBR275C	0.5185700855959505	-0.08704458218017576
YBR276C	0.06243718927348507	-0.08376367512860736
YBR277C	0.9491660373898665	-0.09238006137447093
YBR278W	0.8919937831308099	-0.09059780188033177
YBR279W	1.1172628190184413	-0.08075795307533416
YBR280C	0.33047605835787613	-0.0792802526557383
YBR281C	0.8690569285635384	-0.08937559032954732
YBR282W	0.7555707475494154	-0.09044955575193729
YBR283C	-0.4594147006759723	-0.03741429479384652
YBR284W	0.6765761733594262	-0.09093551557613384
YBR285W	-0.10374986642376213	-0.08033047311615482
YBR286W	0.9299576008501248	-0.08738227301889444
YBR287W	0.2766862970333354	-0.08808011090903506
YBR288C	-0.5643867190846427	-0.07951885358543594
YBR289W	0.5648866237087831	-0.06538000162586136
YBR290W	-1.8863925312431955	-0.07424900491528391
YBR291C	0.6191793202624661	-0.09189726160034797
YBR292C	0.0006070254263822507	-0.07053207049759595
YBR293W	0.36754624906298483	-0.07636604061543886
YBR294W	0.08774012075581399	-0.07581659559397502
YBR295W	0.6030400616265633	-0.0898531673973686
YBR296C	1.2255530601580071	-0.07667916198360882
YBR297W	0.9788696819698032	-0.08997220492704594
YBR298C	0.4153163849948431	-0.09165565888038969
YBR299W	0.002978487154104892	-0.08296120398160597
YBR300C	-0.3757227143796194	-0.05582894507406332
YBR301W	0.4849190466842495	-0.08296575131087591
YCL001W	-0.7933468837565594	-0.09379487815052925
YCL001W-A	0.8229922542835586	-0.09114518759787878
YCL002C	-1.3569772409870131	-0.08809768271668751
YCL004W	0.26453982249530017	-0.09053035918302618
YCL005W	-1.4298983539176628	-0.08623886782038107
YCL008C	-0.5769021616716327	-0.08272986687254785
YCL009C	0.08319928020366765	-0.08999290560532568
YCL010C	0.09308968568239587	-0.058764681220740675
YCL011C	0.5135054946910523	-0.0554227130480449
YCL014W	-0.040410730229542426	-0.0630378806126262
YCL016C	0.3842078485214143	-0.05109038864348159
YCL017C	0.14314656106304222	-0.08944882747889578
YCL022C	0.30783232859756776	-0.07821235022103522
