orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR145W	-0.32079775732731747	-0.22935930650203873			0.0	0.0
YBR146W	-0.4764056654050078	-0.7556997103071942			0.0	0.0
YBR147W	-0.644520263349146	-1.0951287611872549			0.0	0.0
YBR148W	-0.4758040651910668	-0.11455000416798176			0.0	0.0
YBR149W	-1.2358882966089395	-1.0455937373705286			0.0	0.0
YBR150C	0.08130261813910664	-0.3357933852198861			0.0	0.0
YBR151W	0.8833495532077732	0.9712162817530603			0.0	0.0
YBR156C	-1.395278136124631	-2.336691172586318			0.0	0.0
YBR157C	0.24074409448805256	0.5840897115899463			0.0	0.0
YBR158W	-0.6228676326914407	-0.8420217406326188			0.0	0.0
YBR159W	0.5409475782887603	0.3162382050867603				
YBR161W	0.4074495668018121	0.8638364042686805				
YBR162C	-0.8283305922110882	-0.7219601436667643			0.0	0.0
YBR162W-A	-0.28749075561712395	0.13542670423519435			0.0	0.0
YBR163W					-4.924866000964196	0.0
YBR164C	1.3211116944069001	1.482455396761307				
YBR165W	-0.14878134339375468	-0.614591566948274			0.0	0.0
YBR168W					0.0	0.0
YBR169C	-0.1384871985126839	-0.8847552101525022			0.0	0.0
YBR170C					0.0	0.0
YBR171W	-1.1174719732154317	0.5941097240121891				
YBR172C	-0.10251517628908925	0.48067715631726027				
YBR173C	-0.3248496934114927	-0.31733546759996534			-4.540204310521797	0.0
YBR174C	-0.43135221732519774	-0.546123239959865				
YBR175W	-0.40246420870665117	-0.5233763049925888			0.0	0.0
YBR176W	0.2789161568735494	0.4515226870904973				
YBR177C	0.007456347410484212	0.22464775770353554			0.0	0.0
YBR178W	0.2577724289821353	0.6133662290883185				
YBR179C	-3.02269692376049	-0.1695958841400629			-3.0205341357452133	0.0
YBR180W	-0.8370715260330847	-0.4793854369213727			0.0	0.0
YBR181C	1.5398652282496301	1.0943343591998953			0.0	0.0
YBR182C	0.9552367349253303	0.4901193229103406			0.0	0.0
YBR183W	0.7538095360963084	0.6443001922505205			0.0	0.0
YBR184W	-0.1756669316104387	-0.7902205365628019				
