orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YLR417W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YLR418C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR423C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR436C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR443W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YLR447C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YLR451W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YML001W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YML008C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YML012W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YML013W	9.98150463520449	9.38800380190674	0.0	0.0	0.0	0.0
YML073C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YML082W	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YML084W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YML094C-A	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YML097C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YML112W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YML115C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YMR015C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YMR032W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YMR038C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YMR039C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YMR063W	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YMR077C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
