ORF	Growth, colony size;Manganese;12 mM	Growth, colony size;Manganese;25 mM
YOL041C	0.734	0.315
YOL042W	0.661	0.256
YOL043C	0.665	0.246
YOL044W	0.755	0.244
YOL045W	0.751	0.248
YOL046C	0.748	0.243
YOL047C	0.636	0.201
YOL048C	0.708	0.245
YOL049W	0.767	0.268
YOL050C	0.876	0.387
YOL051W	0.648	0.289
YOL052C	0.522	0.232
YOL053C-A	0.630	0.302
YOL053W	0.611	0.304
YOL054W	0.627	0.256
YOL055C	0.653	0.245
YOL056W	0.658	0.263
YOL057W	0.669	0.249
YOL058W	0.626	0.200
YOL059W	0.708	0.262
YOL060C	1.172	1.497
YOL061W	0.622	0.208
YOL062C	0.702	0.327
YOL063C	0.629	0.270
YOL064C	0.621	0.257
YOL065C	0.606	0.296
YOL067C	0.662	0.480
YOL068C	0.571	0.192
YOL070C	0.702	0.240
YOL071W	0.647	0.139
YOL072W	0.659	0.200
YOL075C	0.636	0.237
YOL076W	0.625	0.158
YOL079W	0.678	0.280
YOL080C	0.675	0.291
YOL081W	0.349	0.100
YOL082W	0.641	0.332
YOL083W	0.593	0.268
YOL084W	0.647	0.266
YOL085C	0.677	0.252
YOL086C	0.000	0.000
YOL087C	0.826	0.466
YOL088C	0.576	0.203
YOL089C	0.555	0.174
YOL090W	0.517	0.178
YOL091W	0.559	0.203
YOL092W	0.651	0.240
YOL093W	0.458	0.170
YOL095C	0.564	0.168
YOL096C	0.686	0.187
YOL098C	0.569	0.160
YOL099C	0.615	0.210
YOL100W	0.631	0.243
YOL101C	0.522	0.166
YOL103W	0.577	0.194
YOL104C	0.620	0.205
YOL105C	0.462	0.134
YOL106W	0.573	0.094
YOL107W	0.717	0.182
YOL108C	0.807	0.409
YOL109W	0.927	0.500
YOL110W	0.984	0.541
YOL111C	0.908	0.364
YOL112W	0.595	0.222
YOL113W	0.616	0.233
YOL114C	0.682	0.282
YOL115W	0.659	0.248
YOL116W	0.618	0.200
YOL117W	0.572	0.133
YOL118C	0.607	0.154
YOL119C	0.482	0.152
YOL121C	0.627	0.143
YOL122C	0.624	0.181
YOL124C	0.646	0.198
YOL125W	0.607	0.195
YOL126C	0.652	0.238
YOL128C	0.638	0.248
YOL129W	0.569	0.174
YOL131W	0.680	0.318
YOL132W	0.675	0.283
YOL136C	0.663	0.245
YOL137W	0.615	0.169
YOL138C	0.669	0.220
YOL141W	0.678	0.209
YOL143C	0.890	0.589
YOL147C	0.655	0.232
YOL148C	0.093	0.043
YOL150C	0.605	0.132
YOL151W	0.597	0.181
YOL152W	0.496	0.134
YOL153C	0.650	0.178
YOL155C	0.585	0.200
YOL158C	0.602	0.142
YOL159C	0.766	0.372
YOL160W	0.687	0.211
YOL162W	0.472	0.134
YOL163W	0.666	0.254
YOR001W	0.503	0.168
YOR002W	0.721	0.253
YOR003W	0.674	0.233
YOR005C	0.694	0.236
YOR006C	0.604	0.134
YOR007C	0.677	0.240
YOR008C	0.745	0.266
YOR008C-A	0.607	0.171
YOR009W	0.648	0.293
YOR010C	0.612	0.391
YOR011W	0.650	0.298
YOR012W	0.508	0.190
YOR013W	0.629	0.290
YOR014W	0.555	0.187
YOR015W	0.680	0.255
YOR016C	0.696	0.250
YOR017W	0.664	0.244
YOR018W	0.651	0.201
YOR019W	0.667	0.221
YOR021C	0.640	0.253
YOR022C	0.625	0.288
YOR023C	0.633	0.267
YOR024W	0.636	0.298
YOR025W	0.607	0.297
YOR026W	0.645	0.289
YOR027W	0.635	0.247
YOR028C	0.608	0.233
YOR029W	0.644	0.239
YOR030W	0.847	0.338
YOR031W	0.641	0.196
YOR032C	0.643	0.222
YOR033C	0.779	0.390
YOR034C	0.657	0.258
YOR035C	0.607	0.438
YOR036W	0.635	0.304
YOR037W	0.672	0.317
YOR038C	0.690	0.441
YOR039W	0.608	0.234
YOR040W	0.652	0.242
YOR041C	0.676	0.285
YOR042W	0.675	0.283
YOR043W	0.347	0.140
YOR044W	0.626	0.221
YOR045W	0.634	0.243
YOR047C	0.575	0.200
YOR049C	0.660	0.262
YOR050C	0.668	0.292
YOR051C	0.650	0.299
YOR052C	0.646	0.348
YOR053W	0.638	0.263
YOR054C	0.666	0.256
YOR055W	0.671	0.256
YOR058C	0.655	0.237
YOR059C	0.638	0.240
YOR061W	0.758	0.353
YOR062C	0.623	0.249
YOR064C	0.651	0.253
YOR065W	0.815	0.280
YOR066W	0.614	0.218
YOR067C	0.761	0.300
YOR068C	0.743	0.237
YOR069W	0.777	0.239
YOR070C	0.703	0.192
YOR071C	0.678	0.267
YOR072W	0.722	0.297
YOR073W	1.040	0.596
YOR076C	0.554	0.155
YOR078W	0.668	0.230
YOR079C	0.648	0.240
YOR080W	0.226	0.105
YOR081C	0.655	0.244
YOR082C	0.720	0.316
YOR083W	0.705	0.311
YOR084W	0.623	0.229
YOR085W	0.623	0.284
YOR086C	0.722	0.251
YOR087W	0.621	0.212
YOR088W	0.609	0.203
YOR089C	0.673	0.266
YOR090C	0.641	0.250
YOR091W	0.596	0.243
YOR092W	0.606	0.263
YOR093C	0.578	0.210
YOR094W	0.635	0.226
YOR096W	0.493	0.153
YOR097C	0.663	0.347
YOR099W	0.614	0.272
YOR100C	0.629	0.355
YOR101W	0.859	0.596
YOR104W	0.701	0.328
YOR105W	0.695	0.277
YOR106W	0.456	0.079
YOR107W	0.671	0.274
YOR108W	0.707	0.281
YOR109W	0.527	0.158
YOR111W	0.638	0.216
YOR112W	0.628	0.195
YOR113W	0.489	0.133
YOR114W	0.622	0.289
YOR115C	0.643	0.344
YOR118W	0.610	0.254
YOR120W	0.657	0.289
YOR121C	0.684	0.290
YOR123C	0.613	0.201
YOR124C	0.535	0.169
YOR125C	0.864	0.245
YOR126C	0.709	0.250
YOR127W	0.612	0.192
YOR128C	0.585	0.288
YOR129C	0.633	0.256
YOR130C	0.631	0.265
YOR131C	0.633	0.268
YOR132W	0.441	0.161
YOR133W	0.663	0.248
YOR134W	0.656	0.246
YOR135C	0.711	0.273
YOR136W	0.735	0.310
YOR137C	0.677	0.259
YOR138C	0.554	0.184
YOR139C	0.769	0.413
YOR140W	0.754	0.440
YOR141C	0.692	0.309
YOR142W	0.669	0.293
YOR144C	0.619	0.284
YOR147W	1.087	0.671
YOR150W	0.631	0.220
YOR152C	0.671	0.300
YOR153W	0.696	0.277
YOR154W	0.609	0.222
YOR155C	0.679	0.242
YOR156C	0.672	0.262
YOR158W	0.681	0.212
YOR161C	0.679	0.266
YOR162C	0.694	0.344
YOR163W	0.681	0.362
YOR164C	0.655	0.301
YOR165W	0.597	0.283
YOR166C	0.688	0.326
YOR167C	0.594	0.243
YOR170W	0.775	0.444
YOR171C	0.696	0.249
YOR172W	0.720	0.259
YOR173W	0.714	0.284
YOR175C	0.511	0.180
YOR177C	0.578	0.218
YOR178C	0.673	0.317
YOR179C	0.660	0.252
YOR180C	0.659	0.256
YOR182C	0.593	0.198
YOR183W	0.588	0.295
YOR184W	0.767	0.874
YOR185C	0.670	0.280
YOR186W	0.646	0.278
YOR187W	1.009	0.696
YOR188W	0.667	0.253
YOR189W	0.611	0.267
YOR190W	0.695	0.259
YOR191W	0.553	0.148
YOR192C	0.633	0.241
YOR193W	0.617	0.250
YOR195W	0.595	0.239
YOR196C	0.625	0.272
YOR197W	0.685	0.370
YOR198C	0.665	0.304
YOR199W	1.152	1.233
YOR200W	0.914	1.014
YOR201C	0.885	0.299
YOR202W	0.672	0.241
YOR205C	0.930	0.308
YOR208W	0.692	0.171
YOR209C	0.498	0.118
YOR211C	1.247	1.444
YOR212W	0.625	0.281
YOR213C	0.654	0.349
YOR214C	0.646	0.362
YOR215C	0.674	0.349
YOR216C	0.504	0.213
YOR219C	0.686	0.285
YOR220W	0.741	0.287
YOR221C	0.628	0.181
YOR222W	0.680	0.196
YOR223W	0.633	0.161
YOR225W	0.656	0.231
YOR226C	0.617	0.183
YOR227W	0.660	0.282
YOR228C	0.619	0.265
YOR229W	0.647	0.323
YOR230W	0.656	0.375
YOR231W	0.655	0.275
YOR233W	0.732	0.305
YOR234C	0.760	0.280
YOR235W	0.609	0.204
YOR237W	0.658	0.248
YOR238W	0.670	0.279
YOR239W	0.681	0.262
YOR240W	0.657	0.234
YOR241W	0.718	0.286
YOR242C	0.505	0.249
YOR243C	0.641	0.246
YOR245C	0.662	0.300
YOR246C	0.531	0.251
YOR247W	0.720	0.310
YOR248W	0.703	0.278
YOR251C	NaN	NaN
YOR252W	0.689	0.305
YOR253W	0.499	0.202
YOR255W	0.643	0.223
YOR258W	0.691	0.206
YOR263C	0.621	0.263
YOR264W	0.624	0.262
YOR265W	0.400	0.117
YOR266W	0.636	0.263
YOR267C	0.635	0.404
YOR268C	0.683	0.250
YOR269W	0.656	0.210
YOR270C	0.837	0.263
YOR271C	0.577	0.158
YOR273C	0.545	0.164
YOR274W	0.516	0.105
YOR275C	0.796	0.281
YOR276W	0.601	0.238
YOR277C	0.642	0.306
YOR279C	0.599	0.246
YOR280C	0.669	0.248
YOR283W	0.687	0.247
YOR284W	0.663	0.250
YOR285W	0.690	0.265
YOR286W	0.686	0.266
YOR288C	0.595	0.183
YOR289W	0.640	0.199
YOR290C	0.308	0.095
YOR291W	0.471	0.096
YOR292C	0.659	0.203
YOR293W	0.662	0.217
YOR295W	0.738	0.446
YOR296W	0.663	0.278
YOR297C	0.703	0.387
YOR298C-A	0.675	0.181
YOR298W	0.633	0.294
YOR299W	0.641	0.264
YOR300W	0.678	0.209
YOR301W	0.655	0.271
YOR302W	0.634	0.257
YOR303W	0.622	0.234
YOR304C-A	0.678	0.250
YOR304W	0.705	0.301
YOR305W	0.895	0.292
YOR306C	0.580	0.158
YOR307C	0.476	0.153
YOR308C	0.716	0.350
YOR309C	0.600	0.190
YOR311C	0.642	0.265
YOR312C	0.503	0.155
YOR313C	0.658	0.293
YOR314W	0.636	0.309
YOR315W	0.537	0.261
YOR316C	0.634	0.359
YOR317W	0.670	0.294
YOR318C	0.659	0.258
YOR320C	0.690	0.278
YOR321W	0.673	0.239
YOR322C	0.781	0.226
YOR323C	0.906	0.253
YOR324C	0.668	0.233
YOR325W	0.701	0.268
YOR327C	0.568	0.230
YOR328W	0.633	0.250
YOR330C	0.857	0.324
YOR331C	0.349	0.184
YOR332W	0.553	0.267
YOR333C	0.651	0.185
YOR334W	0.641	0.270
YOR337W	0.646	0.298
YOR338W	0.644	0.216
YOR339C	0.663	0.232
YOR342C	0.714	0.278
YOR343C	0.711	0.235
YOR344C	0.697	0.211
YOR345C	0.608	0.160
YOR346W	0.638	0.244
YOR347C	0.625	0.235
YOR348C	0.657	0.246
YOR349W	0.634	0.247
YOR350C	0.765	0.317
YOR351C	0.639	0.488
YOR352W	0.611	0.263
YOR354C	0.651	0.257
YOR355W	0.610	0.221
YOR356W	0.701	0.263
YOR357C	0.716	0.281
YOR358W	0.629	0.268
YOR359W	0.648	0.339
YOR360C	0.352	0.129
YOR363C	0.649	0.228
YOR364W	0.570	0.127
YOR365C	0.684	0.265
YOR366W	0.614	0.210
YOR367W	0.695	0.297
YOR368W	0.675	0.348
YOR369C	0.989	0.540
YOR371C	0.553	0.205
YOR374W	0.707	0.259
YOR375C	0.646	0.269
YOR376W	0.709	0.294
YOR377W	0.714	0.319
YOR378W	0.534	0.176
YOR379C	0.607	0.189
YOR380W	0.626	0.223
YOR381W	0.602	0.202
YOR382W	0.634	0.229
YOR383C	0.664	0.261
YOR384W	0.689	0.292
YOR385W	0.670	0.278
YOR386W	0.678	0.287
YPL001W	0.650	0.211
YPL002C	0.676	0.210
YPL003W	0.664	0.248
YPL004C	0.612	0.223
YPL005W	0.800	0.348
YPL006W	0.583	0.283
YPL008W	0.754	0.322
YPL009C	0.641	0.257
YPL013C	0.407	0.193
YPL014W	0.574	0.193
YPL015C	0.563	0.163
YPL017C	0.553	0.156
YPL018W	0.524	0.117
YPL019C	1.004	0.422
YPL021W	0.623	0.219
YPL022W	0.553	0.155
YPL023C	0.430	0.165
YPL024W	0.675	0.272
YPL025C	0.661	0.356
YPL026C	0.558	0.267
YPL027W	0.635	0.180
YPL029W	0.947	0.427
YPL030W	0.854	0.387
YPL031C	0.174	0.083
YPL032C	0.540	0.162
YPL033C	0.554	0.183
YPL034W	0.648	0.183
YPL035C	0.575	0.194
YPL036W	0.646	0.195
YPL037C	0.722	0.227
YPL038W	0.754	0.264
YPL039W	0.731	0.230
YPL040C	0.629	0.237
YPL041C	0.412	0.142
YPL042C	0.646	0.231
YPL045W	0.424	0.174
YPL046C	0.526	0.179
YPL047W	0.536	0.198
YPL048W	0.491	0.155
YPL049C	0.572	0.184
YPL050C	1.035	0.593
YPL051W	0.640	0.227
YPL052W	0.574	0.134
YPL053C	0.700	0.217
YPL054W	0.609	0.138
YPL055C	0.676	0.124
YPL056C	0.464	0.090
YPL057C	0.520	0.090
YPL058C	0.621	0.236
YPL059W	0.706	0.204
YPL060W	0.411	0.137
YPL061W	0.679	0.218
YPL062W	0.610	0.184
YPL064C	0.651	0.189
YPL065W	0.535	0.112
YPL066W	0.650	0.218
YPL067C	0.637	0.185
YPL068C	0.686	0.223
YPL069C	0.573	0.174
YPL070W	0.656	0.154
YPL071C	0.615	0.167
YPL072W	0.552	0.159
YPL073C	0.595	0.165
YPL074W	0.528	0.137
YPL077C	0.537	0.107
YPL078C	0.684	0.207
YPL079W	0.545	0.163
YPL080C	0.757	0.253
YPL081W	0.525	0.129
YPL084W	0.328	0.097
YPL086C	0.492	0.211
YPL087W	0.555	0.199
YPL088W	0.622	0.178
YPL089C	0.525	0.119
YPL090C	0.904	0.353
YPL091W	0.640	0.249
YPL092W	0.686	0.210
YPL095C	0.679	0.225
YPL096W	0.670	0.232
YPL097W	0.662	0.226
YPL098C	0.674	0.248
YPL099C	0.638	0.204
YPL100W	0.638	0.226
YPL101W	0.336	0.122
YPL102C	0.443	0.227
YPL103C	0.613	0.176
YPL104W	0.795	0.265
YPL105C	0.599	0.190
YPL106C	1.094	0.880
YPL107W	0.593	0.224
YPL108W	0.654	0.236
YPL109C	0.595	0.199
YPL110C	0.639	0.232
YPL111W	0.429	0.125
YPL112C	0.641	0.199
YPL113C	0.700	0.221
YPL114W	0.708	0.270
YPL115C	0.620	0.177
YPL116W	0.658	0.241
YPL118W	0.870	0.311
YPL119C	0.686	0.268
YPL120W	0.479	0.145
YPL121C	0.657	0.242
YPL123C	0.540	0.167
YPL125W	0.695	0.296
YPL127C	0.535	0.178
YPL129W	0.673	0.244
YPL130W	0.636	0.171
YPL132W	0.809	0.312
YPL133C	0.566	0.161
YPL134C	0.664	0.260
YPL135W	0.638	0.188
YPL136W	0.732	0.269
YPL137C	0.683	0.196
YPL138C	0.724	0.205
YPL139C	0.666	0.209
YPL140C	0.645	0.204
YPL141C	0.673	0.226
YPL144W	0.634	0.187
YPL145C	0.751	0.234
YPL147W	0.656	0.226
YPL148C	0.571	0.101
YPL149W	0.555	0.178
YPL150W	0.643	0.151
YPL152W	0.683	0.230
YPL154C	0.562	0.195
YPL155C	0.663	0.254
YPL156C	0.619	0.264
YPL157W	0.552	0.170
YPL158C	0.595	0.197
YPL159C	0.728	0.333
YPL161C	0.864	0.265
YPL162C	0.624	0.209
YPL163C	0.629	0.186
YPL164C	0.596	0.178
YPL165C	0.656	0.206
YPL166W	0.642	0.217
YPL167C	0.672	0.226
YPL168W	0.657	0.210
YPL170W	0.679	0.256
YPL171C	0.605	0.260
YPL172C	0.826	0.321
YPL173W	0.863	0.343
YPL174C	0.670	0.249
YPL176C	0.647	0.293
YPL177C	0.632	0.176
YPL178W	0.598	0.126
YPL179W	0.193	0.048
YPL180W	0.574	0.240
YPL181W	0.576	0.139
YPL182C	0.634	0.144
YPL183C	0.538	0.153
YPL183W	0.661	0.223
YPL183W-A	0.719	0.229
YPL184C	0.608	0.160
YPL185W	0.771	0.386
YPL186C	0.632	0.252
YPL187W	0.663	0.279
YPL188W	0.508	0.242
YPL189W	0.630	0.217
YPL191C	0.687	0.256
YPL192C	0.631	0.220
YPL193W	0.483	0.167
YPL194W	0.651	0.186
YPL195W	1.061	0.191
YPL196W	0.504	0.083
YPL197C	0.645	0.223
YPL198W	0.592	0.187
YPL199C	0.753	0.318
YPL200W	0.681	0.285
YPL201C	0.680	0.277
YPL202C	0.668	0.272
YPL203W	0.596	0.193
YPL205C	0.603	0.226
YPL206C	0.623	0.208
YPL207W	0.676	0.201
YPL208W	0.664	0.148
YPL212C	0.659	0.233
YPL213W	0.653	0.184
YPL214C	0.645	0.208
YPL215W	0.664	0.209
YPL216W	0.724	0.279
YPL219W	0.625	0.190
YPL220W	0.637	0.212
YPL221W	0.644	0.231
YPL222W	0.643	0.211
YPL223C	0.659	0.233
YPL224C	0.521	0.154
YPL225W	0.706	0.212
YPL226W	0.548	0.175
YPL227C	0.663	0.300
YPL229W	0.655	0.225
YPL230W	0.587	0.159
YPL232W	0.621	0.246
YPL234C	0.381	0.182
YPL236C	0.636	0.196
YPL239W	0.549	0.167
YPL240C	0.579	0.179
YPL241C	0.621	0.210
YPL244C	0.636	0.252
YPL245W	0.645	0.256
YPL246C	0.790	0.348
YPL247C	0.657	0.223
YPL248C	0.672	0.286
YPL249C	0.666	0.294
YPL250C	0.691	0.259
YPL253C	0.589	0.230
YPL254W	0.111	0.053
YPL256C	0.521	0.171
YPL257W	0.608	0.210
YPL258C	0.656	0.238
YPL259C	0.299	0.103
YPL260W	0.634	0.156
YPL261C	0.687	0.197
YPL262W	0.465	0.105
YPL263C	0.644	0.264
YPL264C	0.615	0.275
YPL265W	0.609	0.235
YPL267W	0.565	0.182
YPL268W	NaN	NaN
YPL269W	0.551	0.205
YPL270W	0.638	0.249
YPL271W	0.972	0.328
YPL272C	0.672	0.234
YPL273W	0.705	0.250
YPL274W	0.689	0.248
YPR001W	0.617	0.176
YPR002W	0.581	0.143
YPR003C	0.607	0.174
YPR004C	0.591	0.220
YPR005C	0.559	0.201
YPR006C	0.624	0.161
YPR007C	0.705	0.240
YPR008W	0.683	0.183
YPR009W	0.642	0.173
YPR011C	0.660	0.226
YPR012W	0.619	0.223
YPR013C	0.689	0.186
YPR014C	0.618	0.204
YPR015C	0.655	0.212
YPR017C	0.608	0.195
YPR018W	0.595	0.187
YPR020W	0.769	0.266
YPR021C	0.635	0.186
YPR022C	0.651	0.167
YPR023C	0.541	0.277
YPR024W	0.264	0.016
YPR026W	0.646	0.212
YPR027C	0.714	0.201
YPR028W	0.717	0.195
YPR029C	0.462	0.090
YPR030W	0.592	0.170
YPR031W	0.673	0.274
YPR032W	0.587	0.160
YPR036W	NaN	NaN
YPR037C	0.660	0.243
YPR038W	0.680	0.318
YPR039W	0.620	0.328
YPR040W	0.764	0.515
YPR042C	0.587	0.192
YPR043W	0.640	0.132
YPR044C	0.625	0.090
YPR045C	0.665	0.073
YPR046W	0.651	0.207
YPR047W	0.906	0.258
YPR049C	0.618	0.079
YPR050C	0.720	0.335
YPR051W	0.627	0.265
YPR052C	0.692	0.185
YPR053C	0.628	0.227
YPR054W	0.667	0.258
YPR057W	0.521	0.185
YPR058W	0.666	0.231
YPR059C	0.645	0.232
YPR060C	0.587	0.160
YPR061C	0.626	0.192
YPR062W	0.698	0.222
YPR063C	0.651	0.176
YPR064W	0.654	0.314
YPR065W	0.570	0.186
YPR066W	0.601	0.174
YPR067W	0.397	0.171
YPR068C	0.559	0.129
YPR069C	0.482	0.136
YPR070W	0.620	0.261
YPR071W	0.617	0.249
YPR072W	NaN	NaN
YPR073C	0.650	0.258
YPR074C	0.656	0.262
YPR075C	0.654	0.226
YPR076W	0.652	0.229
YPR077C	0.653	0.196
YPR078C	0.706	0.256
YPR079W	0.668	0.183
YPR083W	0.713	0.227
YPR084W	0.664	0.193
YPR087W	0.728	0.222
YPR089W	0.631	0.177
YPR090W	0.589	0.186
YPR091C	0.643	0.258
YPR092W	0.572	0.196
YPR093C	0.689	0.293
YPR095C	0.751	0.303
YPR096C	0.592	0.160
YPR097W	0.738	0.264
YPR098C	0.721	0.174
YPR099C	0.659	0.224
YPR100W	0.735	0.197
YPR101W	0.463	0.115
YPR106W	0.353	0.195
YPR109W	0.469	0.191
YPR111W	0.646	0.308
YPR114W	0.643	0.239
YPR115W	0.470	0.189
YPR116W	0.678	0.194
YPR117W	0.706	0.229
YPR118W	0.635	0.223
YPR119W	0.622	0.208
YPR120C	0.326	0.080
YPR121W	0.724	0.208
YPR122W	0.637	0.198
YPR123C	0.680	0.222
YPR124W	0.611	0.297
YPR125W	0.665	0.272
YPR126C	0.778	0.336
YPR127W	0.611	0.240
YPR128C	0.554	0.184
YPR129W	0.681	0.222
YPR130C	0.575	0.174
YPR131C	0.376	0.148
YPR132W	0.704	0.232
YPR133W-A	0.856	0.149
YPR134W	0.634	0.187
YPR135W	0.510	0.139
YPR138C	0.546	0.150
YPR139C	0.612	0.208
YPR140W	0.658	0.248
YPR141C	0.606	0.203
YPR145W	0.598	0.187
YPR146C	0.684	0.212
YPR147C	0.760	0.208
YPR148C	0.563	0.162
YPR149W	0.728	0.233
YPR150W	0.609	0.209
YPR151C	0.670	0.228
YPR152C	0.570	0.162
YPR153W	0.617	0.183
YPR154W	0.658	0.197
YPR155C	0.637	0.228
YPR156C	0.532	0.142
YPR157W	0.655	0.187
YPR158W	0.577	0.159
YPR159W	0.829	0.217
YPR160W	0.567	0.158
YPR163C	0.533	0.187
YPR164W	0.450	0.109
YPR166C	0.604	0.160
YPR167C	0.600	0.176
YPR170C	0.464	0.165
YPR171W	0.676	0.211
YPR172W	0.691	0.188
YPR173C	0.625	0.170
YPR174C	0.580	0.152
YPR179C	0.585	0.250
YPR184W	0.602	0.147
YPR185W	0.678	0.190
YPR188C	0.631	0.169
YPR189W	0.528	0.105
YPR191W	0.577	0.149
YPR192W	0.958	0.452
YPR193C	0.615	0.227
YPR194C	0.630	0.213
YPR195C	0.623	0.241
YPR196W	0.671	0.266
YPR197C	0.641	0.223
YPR198W	0.635	0.211
YPR199C	0.715	0.243
YPR200C	0.722	0.230
YPR201W	0.642	0.173
