ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YGL079W	0.007	0.001	0.010	0.022	0.000	0.015	0.008	0.017	-0.005	-0.015	-0.003	0.004	-0.008	-0.013	-0.014	0.010
YGL080W	-0.016	-0.010	-0.011	-0.034	-0.070	-0.063	-0.090	-0.005	-0.002	-0.011	-0.013	0.005	-0.013	-0.021	0.006	0.017
YGL081W	-0.006	0.001	0.005	0.008	0.003	0.011	0.002	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL082W	-0.004	-0.008	0.004	0.004	-0.002	0.010	0.001	0.000	-0.026	-0.034	-0.020	-0.011	0.001	-0.008	-0.027	0.021
YGL083W	-0.018	0.010	0.020	0.039	0.012	0.008	0.001	0.022	-0.036	-0.003	0.010	0.035	-0.008	-0.016	-0.017	0.051
YGL084C	0.024	0.009	-0.036	-0.128	-0.119	-0.104	-0.109	-0.016	0.004	-0.014	-0.013	-0.039	-0.011	-0.015	-0.014	-0.017
YGL085W	-0.018	-0.014	0.012	0.015	-0.008	-0.015	-0.002	-0.010	-0.010	-0.014	-0.006	-0.010	-0.019	0.002	-0.031	0.022
YGL086W	-0.002	-0.001	0.017	0.016	0.016	0.016	0.013	0.016	-0.021	-0.001	0.001	0.010	-0.012	-0.009	-0.008	0.025
YGL087C	0.007	-0.008	-0.008	-0.019	-0.006	0.009	0.022	-0.019	0.029	-0.020	-0.019	-0.077	0.034	0.045	0.043	-0.026
YGL088W	0.014	0.008	0.031	0.159	0.123	0.144	0.140	0.150	-0.008	-0.019	0.008	-0.013	0.004	0.002	-0.007	0.028
YGL089C	-0.002	0.004	0.010	0.034	-0.002	0.017	0.014	0.021	-0.018	-0.000	-0.000	0.010	-0.012	-0.003	-0.019	0.025
YGL090W	-0.000	-0.000	0.009	0.019	-0.002	0.010	0.015	0.010	-0.006	-0.009	-0.009	-0.001	-0.013	-0.003	-0.019	0.024
YGL091C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	-0.007	-0.020	-0.027	-0.012	-0.003	-0.009	0.003
YGL092W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	0.011	0.049	0.099	0.053	0.077	0.046	0.126
YGL093W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.013	-0.003	-0.008	-0.017	-0.041	-0.083	-0.086	-0.042
YGL094C	-0.002	0.023	0.032	0.053	0.022	0.031	0.024	0.037	-0.050	0.001	0.015	0.082	-0.007	-0.021	-0.004	0.087
YGL095C	-0.019	-0.009	-0.044	-0.207	-0.259	-0.228	-0.281	-0.250	0.018	0.010	0.007	-0.029	0.001	0.032	-0.006	0.007
YGL096W	0.006	0.011	0.003	-0.001	0.000	0.020	0.015	0.007	-0.004	0.003	-0.003	-0.014	-0.005	-0.010	0.004	0.013
YGL097W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.037	0.016	0.006	0.029	-0.014	0.005	0.005	0.033
YGL098W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.036	0.007	0.026	0.091	0.000	0.000	-0.007	0.098
YGL099W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.068	0.056	NaN	NaN	0.015	0.053	0.024	NaN
YGL101W	-0.004	0.013	0.012	0.061	0.018	0.028	0.015	0.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL102C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.018	0.014	0.009	0.062	0.008	0.016	0.031	0.077
YGL103W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.016	-0.006	0.015	0.093	0.013	0.009	-0.002	0.093
YGL104C	-0.005	0.028	0.016	0.070	0.024	0.039	0.045	0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL105W	-0.021	-0.040	0.001	0.098	0.084	0.034	0.022	0.141	0.018	0.004	0.003	0.106	0.014	0.034	-0.026	0.098
YGL107C	-0.030	-0.046	-0.072	-0.336	-0.327	-0.462	-0.467	-0.354	-0.030	0.030	0.007	0.014	-0.031	-0.028	-0.000	0.020
YGL108C	-0.014	0.016	0.005	0.024	0.002	0.010	0.001	0.011	-0.009	0.002	0.012	0.065	0.009	0.010	0.014	0.070
YGL109W	-0.012	0.005	0.017	0.054	0.018	0.008	-0.003	0.036	-0.025	0.001	0.023	0.078	-0.001	-0.011	-0.004	0.081
YGL110C	-0.006	-0.001	0.004	0.023	0.011	0.005	-0.005	0.017	-0.017	0.011	0.008	0.033	-0.009	-0.010	0.009	0.036
YGL111W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.011	0.085	0.000	0.043	0.019	0.055	0.071	0.082
YGL112C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	0.008	0.006	0.064	-0.008	0.001	-0.005	0.082
YGL113W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	0.018	-0.016	-0.037	-0.005	-0.010	0.021	-0.021
YGL114W	-0.025	-0.001	0.014	0.042	0.007	0.007	0.000	0.024	-0.026	0.007	0.020	0.047	-0.007	-0.002	-0.014	0.072
YGL115W	0.026	-0.002	-0.269	-0.327	-0.366	-0.389	-0.454	-0.339	-0.013	0.023	-0.007	0.002	-0.008	0.003	0.008	0.006
YGL116W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.012	-0.007	0.067	0.023	0.015	-0.008	0.073
YGL117W	-0.005	-0.028	-0.002	0.006	0.001	0.011	0.009	0.002	-0.015	0.012	0.002	0.017	-0.011	-0.002	0.004	0.030
YGL118C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	0.030	0.013	0.070	-0.002	-0.000	0.001	0.054
YGL120C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.014	0.023	0.008	0.046	-0.009	-0.001	0.011	0.052
YGL121C	-0.023	-0.003	0.001	0.016	-0.012	-0.012	-0.009	0.007	-0.016	0.014	0.002	0.031	-0.013	-0.006	-0.004	0.039
YGL122C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.009	0.028	0.007	-0.002	-0.019	-0.014	0.024	0.013
YGL123W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.017	0.029	0.001	0.088	0.050	0.080	0.058	0.081
YGL124C	-0.003	0.001	-0.013	-0.004	-0.050	-0.016	-0.024	-0.004	-0.029	0.015	0.012	0.051	-0.011	-0.009	-0.002	0.066
YGL125W	0.001	-0.010	-0.016	0.014	-0.001	0.011	0.001	0.016	-0.001	0.003	-0.008	0.063	0.020	0.026	0.021	0.064
YGL126W	-0.020	0.002	-0.002	0.025	0.002	0.002	-0.008	0.016	-0.028	0.026	0.012	0.089	0.001	0.016	0.020	0.090
YGL127C	0.018	-0.011	-0.084	-0.014	-0.006	-0.014	-0.030	0.044	-0.008	0.012	-0.002	0.000	-0.013	-0.015	0.013	0.009
YGL128C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.013	-0.025	-0.018	0.005	-0.002	-0.019	-0.025	0.015
YGL129C	-0.072	-0.144	-0.115	-0.275	-0.193	-0.350	-0.429	-0.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL130W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.001	-0.008	-0.006	0.005	0.006	0.003	0.011	-0.006
YGL131C	-0.009	0.005	0.020	0.050	0.022	0.006	0.001	0.035	-0.021	0.004	0.007	0.059	-0.002	-0.003	-0.006	0.054
YGL132W	0.020	0.001	0.007	0.007	-0.004	-0.002	0.014	0.005	-0.013	0.025	0.002	0.036	0.008	0.027	0.007	0.046
YGL133W	0.013	0.019	-0.013	-0.021	-0.031	-0.012	-0.021	-0.006	0.026	0.026	-0.025	-0.030	0.011	0.033	0.022	-0.038
YGL135W	-0.082	-0.091	-0.076	-0.110	-0.098	-0.172	-0.226	-0.109	-0.009	-0.002	-0.002	0.028	0.002	-0.003	0.002	0.025
YGL136C	0.003	0.006	-0.009	-0.003	-0.017	-0.029	-0.029	-0.025	0.012	0.021	-0.006	0.030	0.013	0.015	0.023	0.001
YGL137W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	0.008	0.016	0.060	0.000	-0.007	0.003	0.055
YGL138C	0.014	0.027	0.023	0.064	0.031	0.011	0.036	0.056	-0.033	0.006	0.016	0.076	-0.003	-0.005	-0.006	0.069
YGL139W	-0.009	0.005	0.005	0.037	0.009	-0.003	-0.011	0.025	-0.017	0.006	-0.001	0.060	-0.001	-0.010	0.002	0.055
YGL140C	-0.017	0.008	0.022	0.054	0.021	-0.012	-0.007	0.031	-0.004	0.000	-0.027	-0.029	-0.005	-0.019	0.003	-0.032
YGL141W	0.007	-0.028	-0.007	-0.026	0.004	0.011	0.008	-0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL142C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.019	-0.018	-0.009	0.043	0.005	0.001	-0.023	0.048
YGL143C	-0.043	-0.143	-0.067	-0.207	-0.197	-0.295	-0.361	-0.182	-0.023	-0.031	0.003	0.041	-0.024	-0.016	-0.057	0.059
YGL144C	-0.004	0.000	0.034	0.056	0.019	0.008	0.006	0.039	-0.043	-0.036	0.000	0.075	0.014	0.026	0.007	0.069
YGL146C	-0.009	-0.009	0.019	0.030	0.017	-0.002	-0.003	0.017	-0.046	-0.021	0.026	0.079	-0.016	-0.006	-0.040	0.079
YGL147C	-0.022	-0.019	0.063	0.166	0.137	0.146	0.140	0.149	-0.022	0.004	0.010	0.044	0.001	0.005	-0.001	0.033
YGL148W	0.007	-0.016	0.018	0.054	0.047	0.035	0.038	0.070	-0.021	-0.007	0.003	0.071	-0.011	-0.014	-0.009	0.069
YGL149W	-0.018	-0.002	0.047	0.068	0.019	-0.006	0.006	0.044	-0.036	-0.001	0.037	0.120	-0.000	0.001	-0.021	0.108
YGL150C	-0.000	0.009	0.007	0.022	-0.000	0.026	0.018	0.011	-0.031	0.003	0.016	0.072	-0.009	-0.012	-0.013	0.068
YGL151W	-0.003	0.007	0.022	0.055	0.020	-0.004	-0.004	0.020	-0.038	0.006	0.015	0.079	-0.005	-0.001	-0.008	0.090
YGL152C	-0.010	-0.001	0.034	0.075	0.042	0.023	0.032	0.057	-0.053	0.010	0.052	0.151	0.002	-0.002	-0.025	0.145
YGL153W	0.001	0.001	0.012	0.032	0.025	0.015	0.012	0.026	-0.020	-0.001	-0.003	0.014	-0.013	-0.024	-0.007	0.010
YGL154C	0.001	0.022	0.016	0.032	0.017	0.008	0.007	0.013	-0.020	0.033	-0.007	0.022	0.001	0.018	0.011	0.001
YGL155W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.034	-0.005	0.009	0.054	-0.013	-0.013	-0.016	0.053
YGL156W	-0.006	0.009	0.018	0.048	0.019	0.009	0.012	0.023	-0.029	0.005	0.009	0.060	-0.001	-0.008	-0.017	0.059
YGL157W	-0.003	-0.001	0.009	0.028	0.012	0.001	-0.002	0.016	-0.014	-0.010	-0.011	0.015	-0.014	-0.025	-0.013	0.015
YGL158W	-0.005	0.028	0.015	0.050	0.015	0.019	0.022	0.023	-0.047	0.028	0.033	0.103	0.012	0.039	-0.011	0.128
YGL159W	-0.004	0.011	0.021	0.046	0.021	0.009	0.004	0.034	-0.042	-0.003	0.009	0.062	-0.015	-0.030	-0.009	0.066
YGL160W	-0.009	0.018	0.017	0.044	0.015	0.009	0.004	0.028	-0.008	0.003	-0.031	0.009	-0.013	-0.021	-0.005	0.010
YGL161C	-0.012	0.008	0.008	0.029	0.004	0.005	-0.002	0.007	-0.020	0.011	-0.008	0.038	-0.001	-0.004	-0.014	0.050
YGL162W	-0.006	0.007	0.017	0.040	0.005	0.007	0.010	0.024	-0.074	0.015	0.009	0.083	0.036	0.074	0.014	0.129
YGL163C	-0.017	-0.039	0.001	0.054	0.065	0.048	0.046	0.045	-0.020	-0.009	-0.003	0.065	-0.005	-0.009	-0.016	0.064
YGL164C	-0.027	-0.004	0.003	0.040	-0.000	0.003	-0.002	0.019	-0.075	0.012	0.060	0.153	0.009	-0.001	-0.026	0.157
YGL165C	-0.020	0.008	0.016	0.052	0.015	-0.004	-0.011	0.030	0.021	0.073	NaN	NaN	0.057	0.060	0.076	NaN
YGL166W	-0.015	0.004	0.010	0.035	0.008	-0.000	-0.007	0.021	-0.024	-0.007	0.001	0.041	-0.011	-0.022	-0.013	0.039
YGL167C	-0.036	-0.017	0.003	-0.231	-0.246	-0.211	-0.230	-0.050	-0.068	0.004	0.046	0.124	-0.009	-0.012	-0.045	0.129
YGL168W	0.010	-0.003	-0.023	-0.053	-0.077	-0.131	-0.135	-0.008	-0.027	-0.011	-0.012	0.046	-0.022	-0.026	-0.030	0.044
YGL169W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.017	-0.013	-0.001	0.067	0.009	0.013	-0.002	0.071
YGL170C	-0.019	0.005	0.025	0.065	0.021	-0.007	-0.007	0.034	-0.058	0.036	0.019	0.100	0.026	0.079	0.002	0.135
YGL171W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.018	0.002	-0.010	0.039	-0.012	-0.007	-0.018	0.037
YGL172W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.048	0.014	0.020	0.161	0.022	0.015	0.006	0.158
YGL173C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	-0.012	0.003	0.050	0.001	0.001	-0.016	0.048
YGL174W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.029	0.002	-0.012	0.036	-0.015	-0.015	-0.004	0.043
YGL175C	0.001	-0.013	0.013	0.034	0.013	0.018	0.013	0.033	-0.008	-0.014	-0.013	0.005	-0.016	-0.014	-0.011	0.005
YGL176C	-0.003	-0.004	0.011	0.024	0.002	-0.001	-0.006	0.014	-0.007	0.007	-0.019	-0.006	0.000	0.025	0.007	0.016
YGL177W	-0.006	0.005	0.014	0.040	0.006	0.012	0.005	0.029	-0.017	-0.011	-0.007	0.039	-0.012	-0.010	-0.014	0.033
YGL179C	-0.007	0.008	0.015	0.046	0.016	0.003	-0.006	0.025	-0.028	-0.003	0.006	0.036	-0.020	-0.032	-0.021	0.045
YGL180W	-0.000	0.005	0.008	0.045	0.007	0.015	0.010	0.028	-0.025	-0.007	-0.009	0.069	0.026	0.036	0.024	0.069
YGL181W	-0.005	0.008	0.023	0.052	0.006	0.013	0.015	0.032	-0.036	0.003	0.023	0.070	-0.000	0.012	-0.020	0.082
YGL194C	-0.005	-0.010	-0.002	0.036	0.025	0.026	0.023	0.040	-0.012	0.011	-0.010	0.007	-0.017	-0.005	0.007	0.000
YGL196W	-0.002	-0.007	-0.005	0.004	-0.015	-0.002	-0.003	-0.002	0.024	0.014	-0.043	-0.044	0.014	0.040	0.043	-0.045
YGL197W	-0.019	-0.019	-0.020	-0.044	-0.064	-0.045	-0.047	-0.061	0.001	0.012	-0.031	-0.031	-0.009	-0.013	-0.003	-0.019
YGL198W	-0.004	-0.002	0.002	0.001	-0.018	-0.007	-0.006	-0.004	0.026	0.020	-0.054	-0.132	-0.027	-0.007	0.004	-0.095
YGL199C	-0.004	-0.011	-0.014	-0.023	-0.037	-0.014	-0.019	-0.016	0.016	-0.005	-0.030	-0.054	-0.011	-0.012	-0.008	-0.036
YGL200C	-0.000	0.006	0.006	0.062	0.031	0.030	0.039	0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL201C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.023	-0.008	-0.027	-0.067	-0.008	-0.015	-0.009	-0.027
YGL202W	0.001	-0.009	-0.005	0.014	-0.014	0.013	0.008	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL203C	-0.007	-0.012	0.012	0.035	-0.025	-0.028	-0.040	0.011	-0.028	-0.003	0.021	0.099	0.002	0.022	0.002	0.078
YGL205W	0.010	0.003	-0.011	-0.016	-0.042	0.001	-0.003	-0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL207W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015	0.028	-0.042	-0.093	-0.069	-0.039	-0.033	-0.082
YGL208W	-0.016	0.001	-0.014	-0.028	-0.032	0.008	-0.001	-0.027	0.025	0.008	-0.043	-0.092	-0.026	-0.029	-0.009	-0.070
YGL209W	0.001	-0.001	0.001	0.015	0.002	0.016	0.003	0.012	-0.000	-0.017	-0.018	-0.011	0.014	0.025	0.019	0.011
YGL210W	-0.002	0.012	0.022	0.058	0.011	0.031	0.023	0.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL211W	-0.036	0.027	-0.008	-0.008	-0.077	-0.028	-0.044	-0.011	0.032	0.009	-0.032	-0.046	-0.005	-0.007	-0.007	-0.035
YGL212W	-0.007	-0.012	-0.040	-0.025	-0.066	-0.024	-0.054	0.019	0.006	-0.014	0.002	-0.008	-0.005	-0.017	-0.020	-0.012
YGL213C	-0.010	0.006	0.028	0.075	0.030	0.039	0.024	0.073	0.005	0.016	0.013	0.054	-0.001	0.010	-0.010	0.073
YGL214W	0.010	0.003	-0.011	-0.003	-0.006	0.030	0.017	0.011	-0.008	-0.013	-0.013	0.012	-0.012	0.000	-0.006	0.008
YGL215W	-0.003	-0.004	-0.014	-0.054	-0.088	-0.073	-0.062	-0.057	0.016	0.005	-0.007	-0.006	0.020	0.044	0.038	0.027
YGL216W	-0.005	0.007	-0.003	-0.015	-0.018	0.022	0.003	-0.012	0.021	-0.008	-0.023	-0.079	-0.029	-0.018	-0.004	-0.050
YGL217C	-0.015	-0.004	0.002	0.014	-0.011	-0.001	-0.016	0.015	-0.009	0.003	-0.007	0.016	-0.017	-0.026	0.005	0.015
YGL218W	-0.058	-0.041	-0.120	-0.183	-0.182	-0.287	-0.336	-0.170	-0.025	-0.009	0.022	0.051	-0.007	-0.019	-0.019	0.057
YGL219C	-0.006	-0.002	-0.020	-0.035	0.009	-0.064	-0.068	-0.018	-0.017	0.003	0.005	0.029	-0.004	-0.007	0.008	0.032
YGL221C	-0.002	-0.016	-0.004	-0.013	-0.020	0.005	-0.011	-0.006	0.010	-0.015	-0.025	-0.022	-0.019	-0.008	-0.024	-0.020
YGL222C	-0.004	0.002	-0.005	0.020	0.003	0.027	0.003	0.017	-0.016	-0.001	0.006	0.030	-0.003	-0.010	0.001	0.043
YGL223C	-0.079	-0.051	-0.031	-0.064	-0.121	-0.073	-0.121	-0.035	0.003	-0.012	-0.027	-0.048	-0.013	-0.016	-0.006	-0.036
YGL224C	-0.004	0.003	-0.016	-0.026	-0.038	0.013	-0.003	-0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL225W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.041	0.004	0.024	0.076	0.028	0.041	0.005	0.110
YGL226C-A	0.008	-0.035	0.001	-0.000	-0.004	-0.007	-0.018	-0.001	NaN	NaN	-0.009	0.117	0.039	NaN	NaN	-0.016
YGL226W	-0.006	-0.026	-0.024	-0.018	-0.055	-0.223	-0.213	-0.215	0.006	-0.010	0.016	0.095	0.007	0.003	-0.039	0.083
YGL227W	0.021	-0.023	-0.017	-0.048	-0.044	-0.026	-0.025	-0.035	0.024	-0.011	-0.013	-0.040	0.006	-0.014	-0.008	-0.027
YGL228W	-0.002	-0.014	-0.010	-0.014	-0.033	0.000	-0.024	-0.025	0.051	0.032	-0.071	-0.165	-0.060	-0.079	-0.034	-0.088
YGL229C	0.014	-0.007	0.007	0.025	0.020	0.028	0.036	0.020	0.036	-0.047	-0.003	0.033	0.021	0.037	-0.007	0.029
YGL230C	-0.006	-0.018	0.001	-0.008	-0.003	0.010	-0.005	-0.012	0.012	0.016	-0.016	-0.054	-0.016	-0.013	-0.003	0.000
YGL231C	0.004	-0.010	0.012	0.002	-0.017	0.004	0.005	-0.001	-0.024	-0.014	0.023	0.081	-0.001	0.004	-0.028	0.090
YGL232W	-0.004	-0.019	-0.015	-0.029	-0.042	-0.016	-0.017	-0.023	-0.033	-0.081	-0.017	-0.130	-0.103	-0.320	-0.381	-0.160
YGL233W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009	-0.010	-0.013	-0.016	-0.016	-0.001	-0.009	0.008
YGL234W	-0.005	-0.012	-0.006	0.005	0.004	0.022	0.010	-0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL235W	-0.002	0.018	-0.012	-0.036	-0.037	-0.027	-0.042	-0.053	0.012	0.013	-0.023	-0.067	-0.014	-0.009	0.014	-0.051
YGL236C	0.001	-0.001	-0.046	-0.095	-0.167	-0.155	-0.170	-0.128	-0.005	0.012	-0.014	-0.040	-0.025	-0.008	-0.003	-0.005
YGL237C	0.009	-0.036	-0.054	-0.433	-0.296	-0.385	-0.480	-0.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YGL238W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.026	0.010	-0.025	-0.060	0.012	0.020	0.044	-0.034
YGL239C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006	0.013	-0.007	0.020	0.009	0.001	0.041	0.016
YGL240W	-0.078	0.007	0.019	-0.128	-0.126	-0.246	-0.258	-0.175	-0.023	-0.009	0.003	0.046	-0.016	-0.029	-0.027	0.057
YGL241W	-0.012	0.005	-0.002	-0.000	-0.013	0.016	0.006	0.006	-0.016	-0.015	0.012	0.032	-0.005	-0.021	-0.017	0.052
YGL242C	0.007	-0.003	-0.003	0.001	-0.004	0.013	0.008	0.000	0.021	-0.004	0.000	-0.016	-0.009	0.001	-0.015	0.007
YGL243W	-0.004	0.003	-0.001	0.006	-0.003	0.013	0.001	0.006	0.014	0.005	-0.002	-0.029	-0.002	-0.002	0.002	-0.009
YGL244W	0.028	0.023	-0.013	0.009	-0.005	0.009	0.016	0.013	0.024	0.021	-0.033	-0.092	-0.009	-0.003	0.013	-0.056
YGL245W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015	0.020	-0.012	-0.044	0.028	0.068	0.049	0.002
YGL246C	-0.044	-0.018	0.021	-0.025	-0.068	-0.080	-0.185	0.026	0.026	0.027	-0.038	-0.157	-0.027	-0.020	-0.004	-0.107
YGL247W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	-0.001	-0.029	-0.062	-0.017	-0.017	-0.009	-0.032
YGL248W	-0.002	-0.010	0.002	-0.019	-0.012	0.005	-0.004	-0.013	-0.001	0.002	0.001	-0.089	-0.024	-0.026	-0.001	0.010
YGL249W	0.001	-0.015	-0.005	-0.005	-0.020	-0.004	-0.007	-0.016	-0.014	0.001	0.007	0.000	-0.016	-0.027	-0.003	0.021
YGL250W	0.015	-0.002	-0.027	-0.103	-0.104	-0.089	-0.094	-0.079	0.003	-0.026	-0.006	0.003	-0.009	-0.006	-0.018	0.008
YGL251C	-0.018	0.000	-0.026	-0.012	-0.050	-0.024	-0.033	-0.006	0.027	-0.009	-0.024	-0.079	0.007	-0.004	0.028	-0.036
YGL252C	-0.004	-0.036	-0.087	-0.036	-0.022	0.001	0.014	-0.008	0.018	-0.014	-0.045	-0.063	-0.013	-0.033	-0.010	-0.041
YGL253W	-0.014	-0.023	0.067	0.123	0.122	0.124	0.113	0.123	-0.008	-0.001	0.003	0.009	-0.005	-0.009	-0.013	0.031
YGL254W	-0.002	0.003	0.014	0.028	0.005	0.021	0.011	0.025	-0.013	0.005	0.015	0.010	-0.009	0.012	-0.005	0.019
YGL255W	-0.005	-0.011	0.005	0.013	-0.006	0.004	0.003	0.010	-0.008	-0.013	0.005	0.036	0.001	-0.017	-0.017	0.041
YGL256W	-0.012	-0.005	-0.003	0.006	-0.005	0.004	-0.008	0.001	-0.002	-0.002	-0.015	-0.007	-0.016	-0.005	-0.011	0.006
YGL257C	-0.016	0.002	-0.013	-0.006	-0.015	0.001	-0.006	-0.009	0.032	0.029	-0.019	-0.003	-0.008	0.017	0.019	-0.002
YGL258W	-0.017	-0.020	-0.012	-0.012	-0.010	-0.005	-0.006	-0.007	0.007	0.007	-0.015	-0.003	-0.007	-0.005	-0.010	-0.001
YGL259W	-0.013	-0.020	-0.012	0.006	-0.010	-0.002	-0.012	0.003	-0.024	0.026	0.004	0.075	-0.014	-0.011	-0.006	0.049
YGL260W	-0.020	0.002	-0.002	0.011	-0.005	0.000	-0.009	0.010	-0.003	0.019	-0.001	0.014	-0.014	-0.013	0.003	0.034
YGL261C	-0.012	-0.000	-0.010	-0.031	-0.027	0.002	-0.012	-0.018	0.017	-0.011	-0.024	-0.067	0.002	-0.002	0.011	-0.023
YGL262W	-0.006	0.003	-0.000	0.021	-0.004	0.015	0.004	0.019	-0.018	0.012	0.005	0.035	-0.010	-0.003	-0.003	0.065
YGL263W	-0.006	-0.011	-0.009	-0.003	-0.013	0.015	0.003	0.005	0.003	0.006	-0.022	-0.016	-0.008	-0.013	0.007	0.007
YGR001C	-0.015	-0.011	-0.012	0.002	-0.019	0.004	-0.004	0.003	-0.001	-0.003	-0.018	0.006	-0.011	-0.004	-0.005	0.009
YGR002C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003	0.025	-0.019	0.025	0.002	0.000	0.023	0.056
YGR003W	-0.012	-0.007	-0.017	-0.013	-0.016	0.006	-0.010	-0.011	0.008	0.017	-0.030	-0.034	-0.006	-0.011	0.011	-0.022
