ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YDR474C	0.988
YDR475C	0.973
YDR476C	0.998
YDR477W	0.841
YDR479C	0.995
YDR480W	1.006
YDR481C	0.999
YDR482C	1.000
YDR483W	0.968
YDR484W	0.885
YDR485C	0.976
YDR486C	0.998
YDR488C	0.996
YDR490C	1.019
YDR491C	0.993
YDR492W	0.999
YDR493W	0.979
YDR494W	0.982
YDR495C	0.670
YDR496C	0.939
YDR497C	0.987
YDR500C	0.903
YDR501W	0.988
YDR502C	0.996
YDR503C	1.004
YDR504C	1.000
YDR505C	0.981
YDR506C	0.994
YDR507C	0.413
YDR508C	0.976
YDR509W	0.997
YDR511W	1.010
YDR512C	0.942
YDR513W	0.999
YDR514C	0.993
YDR515W	0.994
YDR516C	1.057
YDR517W	0.992
YDR518W	0.874
YDR519W	0.988
YDR520C	0.992
YDR521W	0.994
YDR522C	1.013
YDR523C	1.015
YDR524C	0.997
YDR525W	0.960
YDR525W-A	0.995
YDR528W	0.999
YDR529C	NaN
YDR530C	1.005
YDR532C	NaN
YDR533C	NaN
YDR534C	1.005
YDR535C	1.008
YDR536W	0.999
YDR537C	0.974
YDR538W	0.988
YDR539W	0.990
YDR540C	0.857
YDR541C	0.973
YEL001C	1.018
YEL003W	0.952
YEL004W	0.989
YEL005C	0.994
YEL006W	0.986
YEL007W	0.942
YEL008W	0.989
YEL009C	0.985
YEL010W	1.021
YEL011W	0.901
YEL012W	0.982
YEL013W	0.999
YEL014C	0.993
YEL015W	0.985
YEL016C	0.979
YEL017C-A	0.979
YEL017W	0.987
YEL018W	0.998
YEL020C	1.006
YEL023C	1.013
YEL024W	NaN
YEL025C	0.997
YEL027W	0.640
YEL028W	0.976
YEL029C	0.980
YEL030W	1.003
YEL031W	0.828
YEL033W	0.764
YEL036C	0.611
YEL037C	0.989
YEL038W	0.985
YEL039C	0.982
YEL040W	0.968
YEL041W	0.995
YEL042W	0.919
YEL043W	0.991
YEL044W	0.354
YEL045C	0.741
YEL046C	0.679
YEL047C	1.009
YEL048C	0.991
YEL049W	0.998
YEL050C	0.645
YEL051W	0.563
YEL052W	0.988
YEL053C	0.977
YEL054C	0.934
YEL056W	1.003
YEL057C	0.999
YEL059W	0.985
YEL060C	0.992
YEL061C	0.834
YEL062W	0.970
YEL063C	0.988
YEL064C	1.006
YEL065W	1.014
YEL066W	1.012
YEL067C	1.002
YEL068C	1.007
YEL071W	1.007
YEL072W	0.991
YER001W	1.001
YER002W	1.004
YER004W	1.009
YER005W	0.934
YER007C-A	0.988
YER007W	0.991
YER010C	1.006
YER011W	1.021
YER014C-A	NaN
YER016W	0.991
YER017C	0.871
YER019C-A	0.987
YER019W	0.907
YER020W	0.977
YER024W	1.005
YER027C	1.005
YER028C	1.001
YER030W	0.995
YER031C	0.936
YER032W	0.975
YER033C	0.986
YER034W	1.000
YER037W	1.022
YER038W-A	1.016
YER039C	1.006
YER039C-A	0.996
YER040W	0.936
YER041W	0.981
YER042W	0.997
YER044C	NaN
YER044C-A	1.001
YER045C	1.014
YER046W	0.977
YER046W-A	1.011
YER047C	1.016
YER048C	0.987
YER049W	1.023
YER050C	NaN
YER051W	1.009
YER052C	1.008
YER053C	1.026
YER054C	NaN
YER055C	1.003
YER056C	0.999
YER056C-A	1.013
YER057C	1.017
YER058W	NaN
YER059W	1.033
YER060W	1.002
YER060W-A	1.003
YER061C	0.927
YER062C	0.997
YER063W	0.976
YER064C	0.873
YER065C	0.974
YER066C-A	0.995
YER066W	0.978
YER067C-A	1.019
YER067W	1.023
YER068C-A	1.019
YER068W	NaN
YER069W	1.018
YER070W	0.317
YER071C	1.007
YER072W	1.005
YER073W	0.995
YER074W	0.879
YER075C	1.023
YER077C	NaN
YER078C	0.942
YER079W	1.021
YER080W	1.008
YER081W	1.010
YER083C	0.946
YER084W	0.966
YER085C	0.999
YER086W	0.948
YER087C-A	1.011
YER087W	NaN
YER088C	0.922
YER089C	0.988
YER090W	0.823
YER091C	0.974
YER091C-A	1.005
YER092W	0.979
YER093C-A	0.969
YER095W	0.624
YER096W	1.034
YER097W	0.984
YER098W	0.985
YER101C	0.991
YER103W	1.001
YER106W	1.006
YER108C	1.005
YER109C	1.005
YER110C	0.912
YER111C	0.879
YER113C	0.963
YER114C	0.977
YER115C	0.982
YER116C	0.389
YER117W	0.992
YER118C	1.001
YER119C	1.000
YER119C-A	0.999
YER120W	1.005
YER121W	1.015
YER122C	0.419
YER123W	0.926
YER124C	0.966
YER128W	1.003
YER129W	0.986
YER130C	1.007
YER131W	0.980
YER132C	1.013
YER134C	0.981
YER135C	0.979
YER137C	0.966
YER139C	0.699
YER140W	0.986
YER141W	NaN
YER142C	1.023
YER143W	1.012
YER144C	0.999
YER145C	1.011
YER149C	0.940
YER150W	0.963
YER151C	0.786
YER152C	0.974
YER153C	0.879
YER154W	NaN
YER155C	0.888
YER156C	0.821
YER158C	1.008
YER161C	0.954
YER162C	0.958
YER163C	0.953
YER164W	0.999
YER166W	0.988
YER167W	0.937
YER169W	0.986
YER170W	1.004
YER173W	0.984
YER174C	0.967
YER175C	0.960
YER176W	0.984
YER177W	0.882
YER178W	0.868
YER179W	1.002
YER180C	0.992
YER181C	0.997
YER182W	0.988
YER183C	0.998
YER184C	1.015
YER185W	1.015
YER186C	0.994
YER187W	0.956
YER188W	0.998
YFL001W	NaN
YFL003C	1.004
YFL004W	0.992
YFL006W	0.971
YFL007W	0.991
YFL010C	0.996
YFL010W-A	0.977
YFL011W	0.996
YFL012W	0.995
YFL013C	0.984
YFL013W-A	0.972
